#beta	transition energy [Ry]	dipole strength	initial state energy [Ry]
3e-07	0.042053	0.125372	-0.062501
2.75e-05	0.042096	0.125372	-0.06261
0.0001	0.042141	0.125372	-0.062897
0.000115	0.042157	0.125612	-0.062956
0.000125	0.042168	0.125786	-0.062995
0.000135	0.042181	0.125974	-0.063034
0.00015	0.042202	0.126282	-0.063093
0.00016	0.042218	0.126501	-0.063133
0.0001675	0.04223	0.126672	-0.063162
0.000175	0.042242	0.126854	-0.063191
0.000185	0.04226	0.127108	-0.06323
0.00019	0.04227	0.127239	-0.06325
0.000195	0.042279	0.127373	-0.063269
0.0002	0.042289	0.12751	-0.063289
0.000205	0.042298	0.127649	-0.063308
0.00021	0.042309	0.127793	-0.063328
0.00022	0.042329	0.128091	-0.063366
0.00023	0.042351	0.128402	-0.063405
0.00024	0.042373	0.128722	-0.063443
0.0002475	0.042391	0.128971	-0.063472
0.00026	0.042421	0.129404	-0.06352
0.00027	0.042447	0.129763	-0.063559
0.00028	0.042473	0.130132	-0.063597
0.0002875	0.042494	0.130416	-0.063626
0.0003	0.042529	0.130909	-0.063674
0.00031	0.042558	0.131294	-0.063712
0.00032	0.042587	0.131711	-0.06375
0.0003275	0.042611	0.13203	-0.063779
0.00034	0.04265	0.132581	-0.063827
0.00035	0.042683	0.133033	-0.063865
0.00036	0.042716	0.133494	-0.063903
0.0003675	0.042742	0.133846	-0.063931
0.00038	0.042785	0.134451	-0.063978
0.00039	0.042821	0.134945	-0.064016
0.0004	0.042858	0.135447	-0.064054
0.0004075	0.042885	0.13583	-0.064082
0.00042	0.042933	0.136486	-0.064129
0.00043	0.042972	0.13702	-0.064166
0.00044	0.043012	0.137562	-0.064204
0.0004475	0.043042	0.137975	-0.064232
0.00045	0.043052	0.138114	-0.064241
0.00046	0.043094	0.138679	-0.064279
0.00047	0.043136	0.139252	-0.064316
0.00048	0.04318	0.139832	-0.064354
0.0004875	0.043212	0.140273	-0.064382
0.00049	0.043223	0.140421	-0.064391
0.0005	0.043268	0.141024	-0.064428
0.00051	0.043313	0.141633	-0.064465
0.00052	0.043359	0.14225	-0.064502
0.0005275	0.043394	0.142717	-0.06453
0.00053	0.043405	0.142874	-0.064539
0.00054	0.043453	0.143512	-0.064576
0.00055	0.043501	0.144156	-0.064613
0.00056	0.043549	0.144808	-0.064649
0.0005675	0.043587	0.145301	-0.064677
0.00057	0.043599	0.145467	-0.064686
0.00058	0.043649	0.146139	-0.064723
0.00059	0.0437	0.146818	-0.06476
0.0006	0.043751	0.147503	-0.064796
0.0006075	0.043791	0.148021	-0.064824
0.00061	0.043804	0.148195	-0.064833
0.00062	0.043857	0.148901	-0.06487
0.00063	0.04391	0.149613	-0.064906
0.00064	0.043965	0.15033	-0.064943
0.0006475	0.044005	0.150873	-0.06497
0.00065	0.044019	0.151056	-0.064979
0.00066	0.044074	0.151794	-0.065015
0.00067	0.04413	0.152539	-0.065051
0.00068	0.044187	0.153289	-0.065087
0.0006875	0.04423	0.153857	-0.065114
0.00069	0.044244	0.154048	-0.065123
0.0007	0.044302	0.154818	-0.065159
