#beta	transition energy [Ry]	dipole strength	initial state energy [Ry]
2e-07	0.104206	0.0134578	-0.111151
0.0001	0.104288	0.0134578	-0.111509
0.0001025	0.104298	0.0135197	-0.111519
0.000105	0.104309	0.0135825	-0.111529
0.0001075	0.10432	0.0136463	-0.111539
0.00011	0.104332	0.0137109	-0.111549
0.0001125	0.104344	0.0137764	-0.111559
0.0001175	0.104368	0.0139098	-0.111579
0.00012	0.104381	0.0139777	-0.111589
0.0001225	0.104394	0.0140463	-0.111599
0.000125	0.104407	0.0141155	-0.111609
0.0001275	0.104421	0.0141855	-0.111619
0.00013	0.104433	0.014256	-0.111628
0.000135	0.104462	0.0143989	-0.111648
0.0001375	0.104476	0.0144719	-0.111658
0.00014	0.104491	0.0145446	-0.111668
0.0001425	0.104507	0.0146178	-0.111678
0.000145	0.104522	0.0146915	-0.111688
0.0001475	0.104538	0.0147655	-0.111698
0.00015	0.104554	0.0148402	-0.111708
0.0001525	0.10457	0.0149149	-0.111718
0.0001575	0.104603	0.0150655	-0.111738
0.0001625	0.104636	0.0152172	-0.111757
0.0001675	0.10467	0.0153696	-0.111777
0.0001725	0.104706	0.0155225	-0.111797
0.0001775	0.104743	0.0156757	-0.111817
0.0001825	0.104779	0.0158287	-0.111836
0.0001875	0.104817	0.0159812	-0.111856
0.00019	0.104836	0.0160571	-0.111866
0.0001925	0.104856	0.016133	-0.111876
0.0001975	0.104894	0.0162835	-0.111895
0.0002025	0.104935	0.0164323	-0.111915
0.0002075	0.104975	0.0165788	-0.111935
0.0002125	0.105016	0.0167222	-0.111954
0.0002175	0.105058	0.0168617	-0.111974
0.0002225	0.105101	0.0169957	-0.111994
0.0002275	0.105143	0.0171217	-0.112013
0.00023	0.105165	0.0171779	-0.112023
0.0002325	0.105187	0.0172342	-0.112033
0.0002375	0.105231	0.0173156	-0.112053
0.0002425	0.105275	0.0172315	-0.112072
0.000245	0.105298	0.0155191	-0.112082
0.000245625	0.105303	0.00460857	-0.112085
0.00024578125	0.105303	0.00131131	-0.112085
0.0002459375	0.105304	0.000255281	-0.112086
0.00024609375	0.105305	2.43776e-05	-0.112087
0.00024625	0.105305	3.27679e-06	-0.112087
0.00024640625	0.105305	3.93525e-05	-0.112088
0.00024671875	0.105306	0.000138008	-0.112089
0.00024734375	0.105308	0.000291326	-0.112092
0.0002475	0.105308	0.00031949	-0.112092
0.000248125	0.10531	0.000405755	-0.112095
0.000249375	0.105313	0.000507955	-0.1121
0.000251875	0.105318	0.000610287	-0.112109
0.0002525	0.10532	0.000627262	-0.112112
0.000255	0.105326	0.000680719	-0.112122
0.00026	0.105338	0.000757768	-0.112142
0.00027	0.105362	0.000884834	-0.112181
0.00028	0.105388	0.00101514	-0.11222
0.00029	0.105414	0.00116292	-0.112259
0.0003	0.105441	0.00133749	-0.112298
0.00031	0.10547	0.00154987	-0.112337
0.000315	0.105485	0.00167496	-0.112357
0.00032	0.105499	0.00181613	-0.112376
0.000325	0.105514	0.00197694	-0.112395
0.000335	0.105546	0.00237794	-0.112435
0.00034	0.105561	0.00263282	-0.112454
0.000345	0.105577	0.00294014	-0.112473
0.00035	0.105594	0.00331858	-0.112493
0.000355	0.105612	0.00379927	-0.112513
0.00036	0.105629	0.0044396	-0.112532
0.000365	0.105646	0.00537067	-0.112551
0.00037	0.105666	0.00703132	-0.112571
0.0003725	0.105676	0.00872241	-0.112581
0.000375	0.105686	0.0129729	-0.11259
0.00037625	0.105692	0.0195031	-0.112595
0.0003775	0.105698	0.0449207	-0.1126
0.0003778125	0.1057	0.0598013	-0.112601
0.000378125	0.105703	0.0767326	-0.112603
0.0003784375	0.105706	0.0901339	-0.112604
0.00037875	0.10571	0.097562	-0.112605
0.0003790625	0.105713	0.10082	-0.112606
0.0003796875	0.105722	0.102281	-0.112609
0.0003809375	0.105739	0.101211	-0.112614
0.0003834375	0.105772	0.0990522	-0.112623
0.0003884375	0.105841	0.0968479	-0.112643
0.00039	0.105862	0.0964361	-0.112649
0.0003934375	0.105909	0.0955304	-0.112662
0.0003984375	0.105979	0.094486	-0.112682
0.0004034375	0.106048	0.0935399	-0.112701
0.0004134375	0.106188	0.0916877	-0.11274
0.0004234375	0.106329	0.0897177	-0.112779
0.00043	0.106423	0.088469	-0.112805
0.0004334375	0.106471	0.0878151	-0.112818
0.0004359375	0.106506	0.0880216	-0.112828
0.0004371875	0.106523	0.0672559	-0.112833
0.00043734375	0.106524	0.0388682	-0.112833
0.0004375	0.106526	0.0207538	-0.112834
0.00043765625	0.106526	0.0127886	-0.112834
0.0004378125	0.106528	0.00931914	-0.112835
0.00043796875	0.106529	0.00741556	-0.112836
0.00043828125	0.10653	0.00546583	-0.112837
0.0004384375	0.106531	0.00491323	-0.112837
0.00043875	0.106533	0.00418859	-0.112839
0.000439375	0.106536	0.00343317	-0.112841
0.000440625	0.106544	0.00281593	-0.112846
0.000443125	0.106558	0.00240453	-0.112856
0.0004434375	0.106559	0.00237758	-0.112857
0.0004459375	0.106573	0.00223382	-0.112866
0.0004509375	0.106601	0.00210308	-0.112886
