#beta	transition energy [Ry]	dipole strength	initial state energy [Ry]
0.0	0.054236	0.00742779	-0.062501
3.25e-05	0.054178	0.00742779	-0.06263
7.75e-05	0.054121	0.00742779	-0.062808
0.0001025	0.054101	0.00742779	-0.062907
0.0001075	0.054098	0.00751309	-0.062926
0.0001125	0.054095	0.00760267	-0.062946
0.0001175	0.054093	0.00769658	-0.062966
0.0001225	0.05409	0.00779488	-0.062985
0.0001275	0.054089	0.00789762	-0.063005
0.0001375	0.054086	0.00811672	-0.063044
0.0001425	0.054085	0.00823317	-0.063064
0.0001475	0.054085	0.00835429	-0.063084
0.0001525	0.054084	0.00848017	-0.063103
0.0001575	0.054084	0.00861087	-0.063123
0.0001625	0.054084	0.00874646	-0.063142
0.0001675	0.054085	0.00888955	-0.063162
0.0001725	0.054086	0.00903269	-0.063182
0.0001775	0.054087	0.00918352	-0.063201
0.0001825	0.054087	0.00933957	-0.06322
0.0001875	0.054089	0.00950097	-0.06324
0.0001925	0.054091	0.00966779	-0.063259
0.0001975	0.054093	0.00984014	-0.063279
0.0002075	0.054098	0.0102019	-0.063318
0.0002125	0.0541	0.0103916	-0.063337
0.0002175	0.054103	0.0105873	-0.063356
0.0002225	0.054106	0.0107892	-0.063376
0.0002275	0.054109	0.0109973	-0.063395
0.0002325	0.054113	0.0112118	-0.063414
0.0002425	0.054121	0.0116609	-0.063453
0.0002475	0.054125	0.0118991	-0.063472
0.0002525	0.054129	0.0121375	-0.063491
0.0002625	0.054139	0.0126432	-0.06353
0.0002725	0.054149	0.0131797	-0.063568
0.0002825	0.054161	0.0137484	-0.063607
0.0002875	0.054167	0.01405	-0.063626
0.0002925	0.054172	0.0143516	-0.063645
0.0003025	0.054185	0.0149916	-0.063683
0.0003125	0.054199	0.0156707	-0.063722
0.0003225	0.054213	0.016392	-0.06376
0.0003275	0.05422	0.0167755	-0.063779
0.0003325	0.054228	0.0171592	-0.063798
0.0003425	0.054243	0.0179762	-0.063836
0.0003525	0.054259	0.0188492	-0.063874
0.0003625	0.054276	0.0197853	-0.063912
0.0003675	0.054284	0.0202898	-0.063931
0.0003725	0.054293	0.0207945	-0.06395
0.0003825	0.054311	0.0218921	-0.063988
0.0003925	0.054329	0.023102	-0.064025
0.0004025	0.054349	0.0244681	-0.064063
0.0004075	0.054359	0.0252748	-0.064082
0.0004125	0.054369	0.0260819	-0.064101
0.0004225	0.054388	0.0281785	-0.064138
0.0004325	0.054409	0.0316304	-0.064176
0.0004425	0.05443	0.0448004	-0.064213
0.000445	0.054437	0.0640644	-0.064223
0.00044625	0.054439	0.0986695	-0.064227
0.000446875	0.054442	0.140372	-0.06423
0.0004475	0.054444	0.200751	-0.064232
0.0004478125	0.054446	0.223562	-0.064233
0.000448125	0.054448	0.235682	-0.064234
0.0004484375	0.054451	0.240129	-0.064236
0.0004490625	0.054455	0.239497	-0.064238
0.0004503125	0.054466	0.232442	-0.064243
0.0004525	0.054484	0.224388	-0.064251
0.00045375	0.054494	0.221569	-0.064255
0.00045625	0.054516	0.217668	-0.064265
0.00046125	0.054558	0.212738	-0.064284
0.00047125	0.054643	0.206047	-0.064321
0.00048125	0.05473	0.200187	-0.064359
0.0004875	0.054784	0.196441	-0.064382
0.00049125	0.054817	0.194195	-0.064396
0.00050125	0.054904	0.187693	-0.064433
0.00051125	0.054991	0.180355	-0.06447
0.00052125	0.055079	0.171757	-0.064507
0.0005275	0.055134	0.165168	-0.06453
0.00053125	0.055167	0.161214	-0.064544
0.00054125	0.055255	0.147487	-0.064581
0.00055125	0.055341	0.128185	-0.064617
0.00055625	0.055384	0.115161	-0.064636
0.00056125	0.055425	0.0989526	-0.064654
0.00056375	0.055446	0.0894671	-0.064663
0.00056625	0.055466	0.0790523	-0.064672
0.0005675	0.055476	0.0734418	-0.064677
0.00056875	0.055486	0.0678309	-0.064682
0.00057125	0.055505	0.0560872	-0.064691
0.00057375	0.055524	0.044294	-0.0647
0.00057625	0.055541	0.033077	-0.064709
0.00057875	0.055558	0.023093	-0.064718
0.00058125	0.055575	0.0148586	-0.064728
0.00058375	0.055591	0.00861635	-0.064737
