#beta	transition energy [Ry]	dipole strength	initial state energy [Ry]
1e-05	0.02252	15.1075	-0.06254
3e-05	0.02256	15.1075	-0.062619
5e-05	0.022602	15.1075	-0.062699
7e-05	0.022643	15.1075	-0.062777
9e-05	0.022687	15.1075	-0.062856
0.0001	0.022708	15.1075	-0.062895
0.00012	0.022752	15.109	-0.062973
0.00014	0.022797	15.1122	-0.063051
0.00017	0.022864	15.1114	-0.063166
0.00018	0.022887	15.1128	-0.063204
0.00019	0.02291	15.112	-0.063242
0.0002	0.022933	15.1121	-0.06328
0.00021	0.022956	15.1136	-0.063318
0.00022	0.02298	15.1136	-0.063356
0.00023	0.023004	15.1139	-0.063394
0.00024	0.023028	15.1134	-0.063432
0.00025	0.023051	15.1146	-0.063469
0.00026	0.023075	15.114	-0.063506
0.00027	0.0231	15.1145	-0.063544
0.00028	0.023125	15.1151	-0.063581
0.00029	0.023149	15.1156	-0.063618
0.00031	0.023199	15.1157	-0.063692
0.00032	0.023224	15.1163	-0.063729
0.00033	0.02325	15.1164	-0.063766
0.00034	0.023275	15.1166	-0.063803
0.00035	0.023301	15.1175	-0.063839
0.00036	0.023327	15.1175	-0.063876
0.00037	0.023353	15.1181	-0.063912
0.00038	0.023378	15.1179	-0.063948
0.00039	0.023404	15.1188	-0.063984
0.0004	0.023431	15.1186	-0.06402
0.00041	0.023457	15.1192	-0.064056
0.00042	0.023484	15.1196	-0.064092
0.00043	0.023511	15.1202	-0.064128
0.00045	0.023565	15.1207	-0.064199
0.00046	0.023592	15.1211	-0.064234
0.00047	0.02362	15.1214	-0.06427
0.00048	0.023648	15.1215	-0.064305
0.00049	0.023675	15.1224	-0.06434
0.0005	0.023703	15.1225	-0.064375
0.00051	0.023732	15.1232	-0.06441
0.00052	0.02376	15.1231	-0.064445
0.00053	0.023789	15.1238	-0.06448
0.00054	0.023818	15.1238	-0.064515
0.00055	0.023846	15.1244	-0.064549
0.00056	0.023874	15.1247	-0.064583
0.00057	0.023904	15.1253	-0.064618
0.00059	0.023962	15.1258	-0.064686
0.00061	0.024022	15.1265	-0.064755
0.00063	0.024081	15.1273	-0.064822
0.00065	0.024142	15.128	-0.06489
0.00067	0.024202	15.1286	-0.064956
0.00069	0.024264	15.1291	-0.065023
0.00071	0.024326	15.1296	-0.065089
0.00073	0.024389	15.1302	-0.065155
0.00075	0.024452	15.1308	-0.06522
0.00077	0.024516	15.1312	-0.065285
0.00079	0.024581	15.1316	-0.06535
0.00081	0.024646	15.1319	-0.065414
0.00083	0.02471	15.1322	-0.065477
0.00085	0.024777	15.1325	-0.065541
0.00087	0.024844	15.1327	-0.065604
0.00089	0.024911	15.1329	-0.065667
0.00091	0.024979	15.133	-0.065729
0.00093	0.025047	15.1329	-0.065791
0.00095	0.025116	15.1328	-0.065852
0.00097	0.025185	15.1327	-0.065913
0.00099	0.025255	15.1325	-0.065974
0.00101	0.025325	15.1323	-0.066034
0.00103	0.025396	15.1319	-0.066094
0.00105	0.025468	15.1313	-0.066154
0.00107	0.025539	15.1308	-0.066213
0.00109	0.025612	15.1302	-0.066272
0.00111	0.025685	15.1295	-0.06633
0.00113	0.025758	15.1287	-0.066388
0.00115	0.025832	15.1278	-0.066446
0.00117	0.025906	15.1268	-0.066503
0.00119	0.025981	15.1257	-0.06656
0.00121	0.026057	15.1245	-0.066617
0.00123	0.026132	15.1232	-0.066673
0.00125	0.026209	15.1218	-0.066729
0.00127	0.026285	15.1202	-0.066784
0.00129	0.026362	15.1186	-0.066839
0.00131	0.02644	15.1169	-0.066894
0.00133	0.026518	15.115	-0.066948
0.00135	0.026596	15.1131	-0.067002
0.00137	0.026676	15.111	-0.067056
0.00139	0.026755	15.1088	-0.067109
0.00141	0.026835	15.1065	-0.067162
0.00143	0.026914	15.1041	-0.067214
0.00145	0.026995	15.1015	-0.067266
0.00147	0.027076	15.0988	-0.067318
0.00149	0.027157	15.0961	-0.067369
0.00151	0.02724	15.0932	-0.067421
0.00153	0.027322	15.0901	-0.067471
0.00155	0.027405	15.087	-0.067522
0.00157	0.027488	15.0837	-0.067572
0.00159	0.027571	15.0803	-0.067621
0.00161	0.027654	15.0768	-0.06767
0.00163	0.027738	15.0732	-0.067719
0.00165	0.027823	15.0694	-0.067768
0.00167	0.027908	15.0655	-0.067816
0.00169	0.027994	15.0615	-0.067864
0.00171	0.028079	15.0574	-0.067911
0.00173	0.028165	15.0532	-0.067959
0.00175	0.028251	15.0488	-0.068005
0.00177	0.028338	15.0443	-0.068052
0.00179	0.028425	15.0397	-0.068098
0.00181	0.028513	15.0349	-0.068144
0.00183	0.0286	15.0301	-0.068189
0.00185	0.028688	15.0251	-0.068234
0.00187	0.028776	15.02	-0.068279
0.00189	0.028865	15.0148	-0.068323
0.00191	0.028954	15.0094	-0.068367
0.00193	0.029043	15.0039	-0.068411
0.00195	0.029132	14.9984	-0.068454
0.00197	0.029222	14.9927	-0.068497
0.00199	0.029312	14.9868	-0.06854
0.00201	0.029403	14.9809	-0.068582
0.00203	0.029493	14.9749	-0.068624
0.00205	0.029585	14.9687	-0.068666
0.00207	0.029676	14.9624	-0.068707
0.00209	0.029767	14.9559	-0.068748
0.00211	0.029859	14.9495	-0.068789
0.00213	0.029951	14.9429	-0.068829
0.00215	0.030043	14.9362	-0.068869
0.00217	0.030136	14.9293	-0.068909
0.00219	0.030229	14.9224	-0.068948
0.00221	0.030322	14.9154	-0.068987
0.00223	0.030415	14.9082	-0.069026
0.00225	0.03051	14.901	-0.069065
0.00227	0.030603	14.8936	-0.069103
0.00229	0.030697	14.8862	-0.06914
0.00231	0.030792	14.8786	-0.069178
0.00233	0.030886	14.871	-0.069215
0.00235	0.030981	14.8632	-0.069252
0.00237	0.031075	14.8555	-0.069288
0.00239	0.031171	14.8474	-0.069324
0.00241	0.031266	14.8394	-0.06936
0.00243	0.031362	14.8313	-0.069396
0.00245	0.031458	14.8231	-0.069431
0.00247	0.031554	14.8148	-0.069466
0.00249	0.03165	14.8064	-0.0695
0.00251	0.031746	14.798	-0.069534
0.00253	0.031843	14.7894	-0.069569
0.00255	0.03194	14.7807	-0.069602
0.00257	0.032037	14.772	-0.069636
0.00259	0.032134	14.7632	-0.069669
0.00261	0.032232	14.7543	-0.069702
0.00263	0.032329	14.7454	-0.069734
0.00265	0.032427	14.7366	-0.069766
0.00267	0.032525	14.7273	-0.069798
0.00269	0.032623	14.7181	-0.06983
0.00271	0.032721	14.7088	-0.069861
0.00273	0.03282	14.6995	-0.069892
0.00275	0.032919	14.6901	-0.069923
0.00277	0.033017	14.6807	-0.069953
0.00279	0.033116	14.6714	-0.069983
0.00281	0.033215	14.6616	-0.070013
0.00283	0.033314	14.652	-0.070042
0.00285	0.033414	14.6423	-0.070072
0.00287	0.033512	14.6325	-0.0701
0.00289	0.033612	14.6227	-0.070129
0.00291	0.033712	14.6129	-0.070157
0.00293	0.033811	14.6032	-0.070185
0.00295	0.033911	14.593	-0.070213
0.00297	0.034012	14.583	-0.070241
0.00299	0.034112	14.573	-0.070268
0.00301	0.034212	14.5629	-0.070295
0.00303	0.034313	14.5527	-0.070322
0.00305	0.034413	14.5426	-0.070348
0.00307	0.034514	14.5327	-0.070374
0.00309	0.034615	14.5221	-0.0704
0.00311	0.034715	14.5118	-0.070425
0.00313	0.034817	14.5015	-0.070451
0.00315	0.034918	14.4912	-0.070476
0.00317	0.035018	14.4808	-0.0705
0.00319	0.03512	14.4704	-0.070525
0.00321	0.035221	14.4604	-0.070549
0.00323	0.035322	14.4496	-0.070573
0.00325	0.035424	14.4391	-0.070597
0.00327	0.035525	14.4287	-0.07062
0.00329	0.035627	14.4182	-0.070643
0.00331	0.035729	14.4081	-0.070666
0.00333	0.03583	14.3972	-0.070689
0.00335	0.035932	14.3871	-0.070711
0.00337	0.036034	14.3762	-0.070733
0.00339	0.036136	14.3656	-0.070755
0.00341	0.036237	14.3551	-0.070776
0.00343	0.036339	14.3446	-0.070797
0.00345	0.036441	14.3344	-0.070818
0.00347	0.036543	14.3235	-0.070839
0.00349	0.036644	14.3133	-0.070859
0.00351	0.036747	14.3024	-0.07088
0.00353	0.036849	14.2919	-0.0709
0.00355	0.036952	14.2813	-0.07092
0.00357	0.037053	14.2707	-0.070939
0.00359	0.037155	14.2605	-0.070958
0.00361	0.037257	14.2495	-0.070977
0.00365	0.037462	14.228	-0.071015
0.00369	0.037665	14.2062	-0.071051
0.00373	0.037869	14.1835	-0.071086
0.00377	0.038072	14.1597	-0.07112
0.00381	0.038276	14.1335	-0.071154
0.00385	0.038478	14.1036	-0.071186
0.00389	0.03868	14.0613	-0.071218
0.00393	0.03888	14.0182	-0.071248
0.00397	0.03908	13.9476	-0.071278
0.00399	0.039178	13.899	-0.071292
0.00401	0.039276	13.8355	-0.071306
0.00403	0.039373	13.753	-0.07132
0.00405	0.039469	13.6412	-0.071334
0.00406	0.039516	13.5715	-0.071341
0.00407	0.039563	13.4894	-0.071347
0.00408	0.039609	13.3925	-0.071354
0.00409	0.039656	13.2777	-0.071361
0.0041	0.039702	13.1423	-0.071368
0.00411	0.039746	12.9814	-0.071374
0.00412	0.039789	12.79	-0.07138
0.00413	0.039833	12.5627	-0.071387
0.004135	0.039853	12.4342	-0.07139
0.00414	0.039874	12.2945	-0.071393
0.004145	0.039894	12.1429	-0.071396
0.00415	0.039915	11.9787	-0.0714
0.004155	0.039935	11.8013	-0.071403
0.00416	0.039954	11.6101	-0.071406
0.004165	0.039973	11.4048	-0.071409
0.00417	0.039991	11.1851	-0.071412
0.004175	0.040009	10.9512	-0.071415
0.00418	0.040027	10.7031	-0.071418
0.004185	0.040044	10.4407	-0.071421
0.00419	0.04006	10.1657	-0.071424
0.004195	0.040076	9.87883	-0.071427
0.0042	0.040092	9.58132	-0.07143
0.004205	0.040107	9.27485	-0.071433
0.00421	0.040121	8.96129	-0.071436
0.004215	0.040135	8.64296	-0.071439
0.00422	0.040148	8.32174	-0.071442
0.004225	0.040161	7.99987	-0.071445
0.00423	0.040172	7.67952	-0.071447
0.004235	0.040184	7.36266	-0.07145
0.00424	0.040195	7.05151	-0.071453
0.004245	0.040206	6.7474	-0.071456
0.00425	0.040216	6.45204	-0.071459
0.004255	0.040225	6.1667	-0.071462
0.00426	0.040235	5.89098	-0.071465
0.004265	0.040244	5.62803	-0.071468
0.00427	0.040251	5.37692	-0.07147
0.004275	0.040259	5.13789	-0.071473
0.00428	0.040267	4.91096	-0.071476
0.004285	0.040274	4.69601	-0.071479
0.00429	0.040282	4.4928	-0.071482
0.0043	0.040294	4.12037	-0.071487
0.00431	0.040306	3.78991	-0.071493
0.00432	0.040317	3.4974	-0.071498
0.00433	0.040327	3.23868	-0.071503
0.00434	0.040336	3.00989	-0.071508
0.00435	0.040346	2.80716	-0.071514
0.00436	0.040354	2.62716	-0.071519
0.00437	0.040362	2.46697	-0.071524
0.00438	0.040369	2.32411	-0.071529
0.00439	0.040376	2.19564	-0.071534
0.00441	0.04039	1.97752	-0.071544
0.00443	0.040401	1.79984	-0.071553
0.00445	0.040413	1.65327	-0.071563
0.00447	0.040423	1.53114	-0.071572
0.00449	0.040433	1.42828	-0.071581
0.00451	0.040443	1.34093	-0.07159
0.00453	0.040451	1.26605	-0.071598
0.00457	0.040468	1.14523	-0.071615
0.00461	0.040482	1.05287	-0.07163
0.00465	0.040498	0.98074	-0.071646
0.00469	0.04051	0.923423	-0.07166
0.00473	0.040522	0.880652	-0.071673
0.00477	0.040534	0.839619	-0.071686
0.00481	0.040543	0.814288	-0.071697
0.00485	0.040553	0.789968	-0.071708
0.00489	0.040562	0.766637	-0.071719
0.00493	0.04057	0.744277	-0.071728
0.00497	0.040578	0.730562	-0.071737
0.00501	0.040585	0.717414	-0.071745
0.00505	0.040591	0.708081	-0.071752
0.00509	0.040598	0.699144	-0.071759
0.00513	0.040603	0.693076	-0.071765
0.00517	0.040608	0.68728	-0.07177
0.00521	0.040612	0.683733	-0.071774
0.00525	0.040615	0.680363	-0.071778
0.00529	0.040618	0.678823	-0.071781
0.00533	0.040621	0.677383	-0.071784
0.00545	0.040626	0.679148	-0.071787
0.00549	0.040627	0.680639	-0.071787
0.00553	0.040627	0.683339	-0.071786
0.00557	0.040626	0.685986	-0.071784
0.00561	0.040625	0.689745	-0.071782
0.00565	0.040624	0.693414	-0.071779
0.00569	0.040623	0.698126	-0.071776
0.00573	0.04062	0.702718	-0.071771
0.00577	0.040618	0.708309	-0.071767
0.00581	0.040614	0.713749	-0.071761
0.00585	0.040611	0.72016	-0.071755
0.00589	0.040608	0.726395	-0.071749
0.00593	0.040604	0.733587	-0.071742
0.00597	0.040599	0.740576	-0.071734
0.00601	0.040594	0.748521	-0.071726
0.00605	0.040588	0.75624	-0.071717
