#beta	transition energy [Ry]	dipole strength	initial state energy [Ry]
3.125e-07	0.0225	14.3625	-0.062501
1.25e-05	0.022525	14.3625	-0.06255
2.75e-05	0.022556	14.3625	-0.06261
4.75e-05	0.022596	14.3625	-0.062689
6.75e-05	0.022638	14.3625	-0.062769
8.75e-05	0.02268	14.3625	-0.062848
0.0001075	0.022721	14.3625	-0.062926
0.0001275	0.022764	14.3652	-0.063005
0.0001475	0.022808	14.3663	-0.063084
0.0001675	0.022852	14.3681	-0.063162
0.0001875	0.022896	14.3689	-0.06324
0.0002075	0.022941	14.3705	-0.063318
0.0002275	0.022985	14.3712	-0.063395
0.0002475	0.023031	14.3729	-0.063472
0.0002675	0.023077	14.3736	-0.063549
0.0002875	0.023123	14.3753	-0.063626
0.0003075	0.02317	14.3761	-0.063702
0.0003275	0.023218	14.378	-0.063779
0.0003475	0.023265	14.3788	-0.063855
0.0003675	0.023314	14.3808	-0.063931
0.0003875	0.023362	14.3819	-0.064006
0.0004075	0.023412	14.3839	-0.064082
0.0004275	0.023461	14.3851	-0.064157
0.0004475	0.023511	14.3872	-0.064232
0.0004675	0.023562	14.3885	-0.064307
0.0004875	0.023614	14.3908	-0.064382
0.0005075	0.023665	14.3922	-0.064456
0.0005275	0.023717	14.3945	-0.06453
0.0005475	0.023769	14.396	-0.064604
0.0005675	0.023821	14.3985	-0.064677
0.0005875	0.023875	14.4001	-0.064751
0.0006075	0.023929	14.4026	-0.064824
0.0006275	0.023983	14.4043	-0.064897
0.0006475	0.024038	14.4069	-0.06497
0.0006675	0.024092	14.4086	-0.065042
0.0006875	0.024147	14.4113	-0.065114
0.0007075	0.024203	14.4131	-0.065186
0.0007275	0.02426	14.4158	-0.065258
0.0007475	0.024316	14.4177	-0.065329
0.0007675	0.024373	14.4205	-0.065401
0.0007875	0.024431	14.4224	-0.065472
0.0008075	0.024489	14.4252	-0.065543
0.0008275	0.024547	14.4271	-0.065614
0.0008475	0.024605	14.43	-0.065684
0.0008675	0.024664	14.432	-0.065754
0.0008875	0.024724	14.4348	-0.065824
0.0009075	0.024784	14.4368	-0.065894
0.0009275	0.024844	14.4397	-0.065964
0.0009475	0.024905	14.4418	-0.066033
0.0009675	0.024966	14.4446	-0.066102
0.0009875	0.025027	14.4466	-0.066171
0.0010075	0.025089	14.4494	-0.06624
0.0010275	0.025151	14.4515	-0.066308
0.0010475	0.025214	14.4543	-0.066377
0.0010675	0.025277	14.4563	-0.066445
0.0010875	0.025339	14.4591	-0.066512
0.0011075	0.025402	14.4611	-0.066579
0.0011275	0.025467	14.4638	-0.066647
0.0011475	0.025531	14.4657	-0.066714
0.0011675	0.025596	14.4684	-0.066781
0.0011875	0.025661	14.4704	-0.066848
0.0012075	0.025727	14.473	-0.066915
0.0012275	0.025792	14.4748	-0.066981
0.0012475	0.025858	14.4774	-0.067047
0.0012675	0.025924	14.4793	-0.067112
0.0012875	0.025991	14.4817	-0.067178
0.0013075	0.026058	14.4834	-0.067243
0.0013275	0.026126	14.4858	-0.067309
0.0013475	0.026193	14.4875	-0.067374
0.0013675	0.026262	14.4898	-0.067439
0.0013875	0.02633	14.4915	-0.067504
0.0014075	0.026398	14.4936	-0.067568
0.0014275	0.026467	14.4953	-0.067632
0.0014475	0.026536	14.4973	-0.067696
0.0014675	0.026606	14.4988	-0.06776
0.0014875	0.026676	14.5008	-0.067823
0.0015075	0.026745	14.5022	-0.067886
0.0015275	0.026815	14.504	-0.067949
0.0015475	0.026886	14.5053	-0.068012
0.0015675	0.026957	14.5071	-0.068075
0.0015875	0.027028	14.5083	-0.068137
0.0016075	0.027101	14.5099	-0.0682
0.0016275	0.027172	14.5111	-0.068262
0.0016475	0.027244	14.5126	-0.068324
0.0016675	0.027316	14.5136	-0.068385
0.0016875	0.027389	14.515	-0.068447
0.0017075	0.027462	14.5159	-0.068508
0.0017275	0.027535	14.5171	-0.068569
0.0017475	0.027607	14.5179	-0.068629
