#beta	transition energy [Ry]	dipole strength	initial state energy [Ry]
1e-07	0.054315	0.00302506	-0.06258
8.7e-06	0.054246	0.00302506	-0.06258
8.25e-05	0.054308	0.00302506	-0.063157
0.0001025	0.054347	0.00302506	-0.063316
0.0001075	0.054359	0.00305349	-0.063356
0.00011	0.054365	0.00306834	-0.063376
0.0001125	0.054371	0.00308322	-0.063396
0.0001175	0.054383	0.00311426	-0.063436
0.0001225	0.054395	0.00314657	-0.063475
0.0001275	0.054408	0.00318013	-0.063515
0.00013	0.054415	0.00319754	-0.063535
0.0001325	0.054422	0.00321499	-0.063555
0.0001375	0.054435	0.00325114	-0.063594
0.0001425	0.054449	0.00328853	-0.063634
0.0001475	0.054463	0.00332718	-0.063673
0.00015	0.054471	0.00334713	-0.063693
0.0001525	0.054479	0.00336712	-0.063713
0.0001575	0.054494	0.00340834	-0.063752
0.0001625	0.05451	0.0034508	-0.063792
0.0001675	0.054526	0.0034945	-0.063831
0.00017	0.054534	0.00351697	-0.063851
0.0001725	0.054543	0.00353951	-0.063871
0.0001775	0.05456	0.00358582	-0.06391
0.0001825	0.054577	0.00363338	-0.063949
0.0001875	0.054595	0.00368217	-0.063989
0.0001925	0.054613	0.00373222	-0.064028
0.0001975	0.054632	0.0037835	-0.064068
0.0002025	0.054651	0.00383603	-0.064107
0.0002075	0.054669	0.0038898	-0.064146
0.00021	0.054679	0.00391731	-0.064166
0.0002125	0.05469	0.00394489	-0.064186
0.0002175	0.054709	0.00400132	-0.064225
0.0002225	0.054729	0.00405901	-0.064264
0.0002275	0.054749	0.00411795	-0.064303
0.00023	0.05476	0.00414805	-0.064323
0.0002325	0.054771	0.00417822	-0.064343
0.0002375	0.054792	0.00423981	-0.064382
0.0002425	0.054813	0.00430269	-0.064421
0.00025	0.054847	0.00439992	-0.06448
0.0002525	0.054858	0.0044324	-0.0645
0.0002575	0.05488	0.00449928	-0.064539
0.0002625	0.054903	0.00456749	-0.064578
0.0002675	0.054925	0.00463703	-0.064617
0.00027	0.054938	0.00467247	-0.064637
0.0002725	0.05495	0.00470798	-0.064657
0.0002775	0.054973	0.00478035	-0.064696
0.0002875	0.05502	0.00492923	-0.064773
0.00029	0.055032	0.0049675	-0.064793
0.0002925	0.055045	0.00500584	-0.064813
0.0002975	0.05507	0.00508393	-0.064852
0.0003025	0.055094	0.00516349	-0.064891
0.0003075	0.05512	0.00524453	-0.06493
0.00031	0.055132	0.0052858	-0.064949
0.0003125	0.055145	0.00532717	-0.064969
0.0003225	0.055196	0.00549727	-0.065047
0.0003325	0.055249	0.00567317	-0.065125
0.0003425	0.055301	0.00585634	-0.065202
0.00035	0.055343	0.00599914	-0.065261
0.0003525	0.055356	0.00604687	-0.06528
0.0003625	0.055411	0.00624521	-0.065358
0.00037	0.055452	0.00640008	-0.065416
0.0003725	0.055466	0.0064518	-0.065435
0.0003825	0.055523	0.00666742	-0.065513
0.00039	0.055566	0.00683638	-0.065571
0.0003925	0.05558	0.0068928	-0.06559
0.0004025	0.055639	0.00712907	-0.065668
0.00041	0.055684	0.0073152	-0.065726
0.0004125	0.055698	0.00737736	-0.065745
0.0004225	0.055758	0.00763934	-0.065823
0.00043	0.055803	0.00784734	-0.065881
0.0004325	0.055818	0.00791679	-0.0659
0.0004425	0.055879	0.00821229	-0.065977
0.00045	0.055926	0.00844952	-0.066035
0.0004525	0.055941	0.00852876	-0.066054
0.0004625	0.056003	0.00887034	-0.066131
0.0004725	0.056066	0.00924168	-0.066208
0.0004825	0.05613	0.00964935	-0.066285
0.00049	0.056179	0.00998887	-0.066343
0.0004925	0.056195	0.0101022	-0.066362
0.0005025	0.05626	0.0106123	-0.066439
0.00051	0.05631	0.0110495	-0.066497
0.0005125	0.056326	0.0111955	-0.066516
0.0005225	0.056393	0.0118747	-0.066593
0.00053	0.056443	0.0124806	-0.06665
0.0005325	0.05646	0.0126828	-0.066669
0.0005425	0.056528	0.0136686	-0.066746
0.00055	0.056579	0.0145971	-0.066803
0.0005525	0.056596	0.0149069	-0.066822
0.0005625	0.056667	0.0165169	-0.066899
0.0005675	0.056702	0.0175181	-0.066937
0.00057	0.05672	0.0181061	-0.066956
0.0005725	0.056737	0.0186944	-0.066975
0.0005775	0.056772	0.0200921	-0.067013
0.0005825	0.056809	0.021771	-0.067052
0.0005875	0.056846	0.0238079	-0.06709
0.00059	0.056864	0.0250527	-0.067109
0.0005925	0.056883	0.0262979	-0.067128
0.0005975	0.05692	0.0293479	-0.067166
0.0006025	0.056959	0.0330529	-0.067204
0.000605	0.056978	0.0351645	-0.067223
0.0006075	0.056998	0.0374394	-0.067242
0.00061	0.057019	0.0398536	-0.067261
0.0006125	0.057039	0.0423659	-0.06728
0.000615	0.05706	0.0449163	-0.067299
0.0006175	0.057082	0.0474296	-0.067318
0.00062	0.057104	0.0498217	-0.067337
0.0006225	0.057126	0.0520119	-0.067356
0.000625	0.057149	0.053934	-0.067375
0.0006275	0.057173	0.0555453	-0.067394
0.00063	0.057197	0.0568302	-0.067413
0.0006325	0.057221	0.0577973	-0.067432
0.000635	0.057245	0.0584741	-0.067451
0.0006375	0.05727	0.0588964	-0.06747
0.0006425	0.057321	0.059138	-0.067508
0.0006475	0.057372	0.0588154	-0.067546
0.00065	0.057398	0.0584825	-0.067565
0.0006525	0.057424	0.0581496	-0.067584
0.0006575	0.057476	0.0572858	-0.067622
0.0006675	0.057581	0.0552858	-0.067698
0.00067	0.057608	0.0547591	-0.067717
0.0006775	0.057688	0.0531782	-0.067774
