#beta	transition energy [Ry]	dipole strength	initial state energy [Ry]
1e-07	0.24004	9.8543e-05	-0.25004
9.75e-05	0.239895	9.8543e-05	-0.25
0.0001025	0.239894	9.8543e-05	-0.25
0.0001075	0.239894	9.77713e-05	-0.25
0.0001125	0.239893	9.69671e-05	-0.249999
0.0001175	0.239893	9.61302e-05	-0.249999
0.0001225	0.239894	9.52603e-05	-0.249999
0.0001275	0.239896	9.43575e-05	-0.249999
0.0001325	0.239897	9.34218e-05	-0.249999
0.0001375	0.239899	9.24533e-05	-0.249999
0.0001425	0.239902	9.14521e-05	-0.249999
0.0001475	0.239905	9.04185e-05	-0.249999
0.00015	0.239906	8.98856e-05	-0.249999
0.0001525	0.239908	8.93527e-05	-0.249999
0.0001575	0.239912	8.8255e-05	-0.249999
0.0001625	0.239917	8.71257e-05	-0.249999
0.0001675	0.239921	8.59652e-05	-0.249999
0.0001725	0.239926	8.47738e-05	-0.249999
0.0001775	0.239931	8.35521e-05	-0.249999
0.0001825	0.239937	8.23006e-05	-0.249999
0.0001875	0.239943	8.10197e-05	-0.249999
0.0001925	0.239949	7.97099e-05	-0.249999
0.0001975	0.239956	7.8372e-05	-0.249999
0.0002025	0.239963	7.70065e-05	-0.249999
0.0002075	0.239971	7.56142e-05	-0.249999
0.0002125	0.239978	7.41958e-05	-0.249999
0.0002225	0.239995	7.1371e-05	-0.249999
0.0002275	0.240003	6.98755e-05	-0.249999
0.0002325	0.240011	6.83574e-05	-0.249998
0.0002375	0.240021	6.68175e-05	-0.249998
0.0002425	0.24003	6.52569e-05	-0.249998
0.0002475	0.24004	6.36764e-05	-0.249998
0.0002575	0.240061	6.04606e-05	-0.249998
0.0002625	0.240072	5.88273e-05	-0.249998
0.0002675	0.240083	5.71788e-05	-0.249998
0.0002725	0.240094	5.55161e-05	-0.249998
0.0002775	0.240106	5.38407e-05	-0.249998
0.0002825	0.240117	5.21538e-05	-0.249998
0.0002925	0.240142	4.87512e-05	-0.249998
0.0003025	0.240167	4.53199e-05	-0.249998
0.00031	0.240187	4.27344e-05	-0.249998
0.0003125	0.240194	4.18726e-05	-0.249998
0.0003225	0.240221	3.84225e-05	-0.249998
0.0003325	0.240248	3.49842e-05	-0.249997
0.0003425	0.240277	3.1573e-05	-0.249997
0.0003525	0.240307	2.82056e-05	-0.249997
0.0003625	0.240338	2.48999e-05	-0.249997
0.0003725	0.240369	2.16755e-05	-0.249996
0.0003825	0.240401	1.85534e-05	-0.249996
0.00039	0.240426	1.63025e-05	-0.249996
0.0003925	0.240434	1.55522e-05	-0.249996
0.0004025	0.240467	1.2708e-05	-0.249996
0.0004125	0.240501	1.00441e-05	-0.249996
0.0004225	0.240536	7.5929e-06	-0.249996
0.0004325	0.240571	5.39204e-06	-0.249995
0.0004425	0.240607	3.48538e-06	-0.249995
0.0004525	0.240643	1.92531e-06	-0.249995
0.0004625	0.24068	7.7591e-07	-0.249995
0.00047	0.240708	2.82099e-07	-0.249995
0.0004725	0.240717	1.17498e-07	-0.249995
0.0004825	0.240755	5.38024e-08	-0.249995
0.0004925	0.240793	7.23129e-07	-0.249994
0.0005025	0.240831	2.31661e-06	-0.249994
0.0005125	0.240871	5.10919e-06	-0.249994
0.0005225	0.24091	9.51463e-06	-0.249994
0.0005325	0.240948	1.6189e-05	-0.249993
0.00055	0.241018	3.84772e-05	-0.249993
0.0005525	0.241028	4.16614e-05	-0.249993
0.0005725	0.241107	0.000109079	-0.249992
0.0005775	0.241126	0.000142677	-0.249992
0.0005825	0.241144	0.000190036	-0.249992
0.0005875	0.241162	0.000258079	-0.249992
0.00059	0.241171	0.00030229	-0.249992
0.0005925	0.241179	0.000354704	-0.249992
0.000595	0.241186	0.000415103	-0.249992
0.0005975	0.241193	0.000483165	-0.249992
0.0006	0.2412	0.000556444	-0.249992
0.0006025	0.241205	0.000631248	-0.249992
0.000605	0.24121	0.000703254	-0.249992
0.0006075	0.241214	0.00076873	-0.249992
0.00061	0.241217	0.00082548	-0.249991
0.0006125	0.241219	0.000873037	-0.249991
0.000615	0.241222	0.000912231	-0.249991
0.0006175	0.241224	0.000944657	-0.249991
0.0006225	0.241227	0.000995469	-0.249991
0.0006275	0.241229	0.00103829	-0.249991
0.00063	0.241229	0.00106273	-0.249991
0.0006325	0.24123	0.00108716	-0.249991
0.0006375	0.241232	0.0011656	-0.249991
0.0006425	0.241233	0.00138392	-0.249991
0.000645	0.241233	0.00181054	-0.24999
0.00064625	0.241233	0.00261477	-0.24999
0.000646875	0.241235	0.0038156	-0.249991
0.0006475	0.241235	0.00684529	-0.24999
0.0006478125	0.241238	0.00875557	-0.249991
0.000648125	0.24124	0.00980387	-0.249991
0.0006484375	0.241242	0.0101151	-0.24999
0.00064875	0.241245	0.0101314	-0.24999
0.0006490625	0.241249	0.0100644	-0.249991
0.0006496875	0.241254	0.00990426	-0.24999
0.00065	0.241257	0.00983528	-0.24999
0.000650625	0.241265	0.00972355	-0.249991
0.000651875	0.241277	0.00957331	-0.24999
0.000654375	0.241304	0.00940807	-0.249991
0.000659375	0.241355	0.00922575	-0.24999
0.000669375	0.241457	0.00871147	-0.249989
0.000671875	0.241483	0.00839742	-0.249989
0.000674375	0.241508	0.00786572	-0.24999
0.000675625	0.24152	0.00746739	-0.24999
0.000676875	0.241532	0.00694722	-0.24999
0.000678125	0.241542	0.00628456	-0.249989
0.000679375	0.241554	0.00549311	-0.24999
0.000680625	0.241563	0.0046188	-0.24999
0.000681875	0.241572	0.00374544	-0.24999
0.000683125	0.241581	0.00295275	-0.24999
0.000684375	0.241588	0.00229964	-0.249989
0.000685625	0.241594	0.00178671	-0.249988
0.000686875	0.241602	0.00139603	-0.249989
0.000688125	0.241608	0.00110184	-0.249989
0.000689375	0.241615	0.000879237	-0.249989
0.000690625	0.241621	0.000711749	-0.249989
0.000693125	0.241633	0.000481717	-0.249989
0.000698125	0.241656	0.000246079	-0.249988
