#beta	transition energy [Ry]	dipole strength	initial state energy [Ry]
1e-07	0.050155	0.00270623	-0.062501
2.75e-05	0.050102	0.00270623	-0.0625
5.75e-05	0.050052	0.00270623	-0.062499
7.75e-05	0.050022	0.00270623	-0.062498
9.75e-05	0.049995	0.00270623	-0.062497
0.0001075	0.049982	0.00270623	-0.062496
0.0001175	0.049971	0.00265915	-0.062496
0.0001275	0.04996	0.00260891	-0.062495
0.0001375	0.049949	0.00255572	-0.062494
0.0001475	0.049941	0.00249936	-0.062494
0.0001575	0.049932	0.00243991	-0.062493
0.0001675	0.049924	0.00237746	-0.062492
0.0001775	0.049916	0.00231237	-0.062491
0.0001875	0.04991	0.00224451	-0.06249
0.0001975	0.049903	0.00217404	-0.062489
0.0002075	0.049898	0.00210112	-0.062488
0.0002175	0.049892	0.00202616	-0.062486
0.0002275	0.049888	0.00194908	-0.062485
0.0002375	0.049885	0.0018701	-0.062484
0.0002475	0.049882	0.00178942	-0.062482
0.0002575	0.049879	0.00170747	-0.06248
0.0002675	0.049877	0.00162424	-0.062479
0.0002775	0.049877	0.00153916	-0.062478
0.0002875	0.049875	0.00145418	-0.062476
0.0002975	0.049875	0.00136885	-0.062474
0.0003075	0.049875	0.00128323	-0.062472
0.0003175	0.049877	0.0011976	-0.062471
0.0003275	0.049878	0.00111225	-0.062469
0.0003375	0.04988	0.00102764	-0.062467
0.0003475	0.049882	0.000943893	-0.062465
0.0003575	0.049885	0.000861331	-0.062463
0.0003675	0.049889	0.00078028	-0.062461
0.0003775	0.049893	0.00070121	-0.062459
0.0003875	0.049896	0.000624319	-0.062456
0.0003975	0.049901	0.000549967	-0.062454
0.0004075	0.049907	0.000478525	-0.062452
0.0004175	0.049912	0.000410476	-0.062449
0.0004275	0.049918	0.000346096	-0.062447
0.0004375	0.049925	0.000285788	-0.062445
0.0004475	0.049931	0.000229972	-0.062442
0.0004575	0.049938	0.00017915	-0.062439
0.0004675	0.049947	0.000133679	-0.062437
0.0004775	0.049954	9.40186e-05	-0.062434
0.0004875	0.049963	6.06439e-05	-0.062432
0.0004975	0.049972	3.40781e-05	-0.062429
0.0005075	0.049981	1.47759e-05	-0.062426
0.0005175	0.04999	3.2613e-06	-0.062423
0.0005275	0.05	7.7105e-08	-0.06242
0.0005375	0.05001	5.78776e-06	-0.062417
0.0005475	0.05002	2.0952e-05	-0.062414
0.0005575	0.05003	4.61756e-05	-0.06241
0.0005675	0.050041	8.20863e-05	-0.062407
0.0005775	0.050053	0.000129292	-0.062404
0.0005875	0.050065	0.000188497	-0.062401
0.0005975	0.050076	0.00026041	-0.062397
0.0006075	0.050088	0.000352995	-0.062394
0.0006175	0.050101	0.000445267	-0.062391
0.0006275	0.050114	0.000559771	-0.062387
0.0006375	0.050127	0.000690132	-0.062384
0.0006475	0.05014	0.00083724	-0.06238
0.0006575	0.050153	0.0010019	-0.062376
0.0006675	0.050166	0.0011852	-0.062372
0.0006875	0.050194	0.00161198	-0.062364
0.0006975	0.050208	0.00185753	-0.06236
0.0007075	0.050222	0.00212624	-0.062356
0.0007175	0.050237	0.00241942	-0.062352
0.0007275	0.050252	0.00273846	-0.062348
0.0007375	0.050267	0.00308465	-0.062344
0.0007575	0.050298	0.0038655	-0.062335
0.0007675	0.050314	0.00432092	-0.062331
0.0007775	0.05033	0.0047761	-0.062327
0.0007975	0.050362	0.00583281	-0.062318
0.0008075	0.050378	0.00644387	-0.062313
0.0008175	0.050394	0.00705482	-0.062308
0.0008375	0.050427	0.00846488	-0.062299
0.0008475	0.050444	0.00927745	-0.062294
0.0008575	0.05046	0.0100901	-0.062289
0.0008775	0.050494	0.0119635	-0.062279
0.0008875	0.050511	0.0130443	-0.062274
0.0008975	0.050529	0.0141255	-0.062269
0.0009175	0.050564	0.016627	-0.062259
0.0009275	0.050581	0.0180792	-0.062254
0.0009375	0.050598	0.0195323	-0.062248
0.0009575	0.050633	0.0229252	-0.062237
0.0009675	0.050651	0.0249204	-0.062232
0.0009775	0.050669	0.0269174	-0.062227
0.0009975	0.050704	0.0316626	-0.062215
0.0010075	0.050722	0.0348389	-0.06221
0.0010375	0.050775	0.0443927	-0.062193
0.0010475	0.050792	0.0494464	-0.062187
0.0010775	0.050844	0.0646545	-0.062168
0.0010875	0.050862	0.0723933	-0.062162
0.0010975	0.05088	0.0801458	-0.062156
0.0011075	0.050897	0.0901144	-0.062149
0.0011175	0.050916	0.102106	-0.062143
0.0011275	0.050936	0.116612	-0.062137
0.0011325	0.050947	0.124956	-0.062134
0.0011375	0.050957	0.134077	-0.062131
0.0011425	0.050968	0.143971	-0.062127
0.0011475	0.05098	0.154572	-0.062124
0.0011525	0.050993	0.165733	-0.062121
0.0011575	0.051005	0.177202	-0.062117
0.0011625	0.05102	0.188619	-0.062114
0.001165	0.051028	0.19417	-0.062113
0.0011675	0.051035	0.199538	-0.062111
0.00117	0.051043	0.204663	-0.062109
0.001175	0.05106	0.21396	-0.062106
0.0011775	0.051069	0.218038	-0.062104
0.00118	0.051079	0.221688	-0.062103
0.0011825	0.051088	0.224886	-0.062101
0.001185	0.051098	0.22762	-0.0621
0.0011875	0.051108	0.229889	-0.062098
0.0011925	0.051129	0.233064	-0.062095
0.0011975	0.05115	0.234544	-0.062091
0.0012075	0.051195	0.23322	-0.062085
0.0012125	0.051218	0.230825	-0.062082
0.0012175	0.051241	0.227494	-0.062078
0.0012225	0.051264	0.22334	-0.062074
0.0012325	0.051312	0.212833	-0.062068
0.0012425	0.051358	0.199533	-0.06206
0.0012475	0.051381	0.191815	-0.062057
0.0012525	0.051403	0.18337	-0.062053
0.0012575	0.051425	0.174189	-0.06205
0.0012625	0.051446	0.164296	-0.062046
0.0012675	0.051467	0.153751	-0.062042
0.0012725	0.051487	0.14266	-0.062039
0.0012775	0.051506	0.13118	-0.062035
0.0012825	0.051525	0.119508	-0.062032
0.0012875	0.051542	0.107872	-0.062028
0.0012925	0.051559	0.0965031	-0.062024
