#beta	transition energy [Ry]	dipole strength	initial state energy [Ry]
0.0	0.056584	0.00056523	-0.062502
4.25e-05	0.056692	0.00056523	-0.062414
0.0001025	0.056929	0.00056523	-0.062292
0.0001075	0.056953	0.000592617	-0.062282
0.0001125	0.056978	0.000622178	-0.062272
0.0001175	0.057002	0.000654052	-0.062261
0.0001225	0.057028	0.000688388	-0.062251
0.0001275	0.057054	0.000725347	-0.062241
0.0001325	0.057081	0.000765138	-0.062231
0.0001375	0.057108	0.00080791	-0.06222
0.0001425	0.057136	0.000853863	-0.06221
0.0001475	0.057164	0.00090321	-0.0622
0.0001525	0.057192	0.00095618	-0.062189
0.0001575	0.057222	0.00101302	-0.062179
0.0001625	0.057251	0.00107401	-0.062168
0.0001675	0.057281	0.00113942	-0.062158
0.0001725	0.057313	0.00120966	-0.062148
0.0001775	0.057343	0.001285	-0.062137
0.0001825	0.057375	0.00136588	-0.062127
0.0001875	0.057406	0.00145274	-0.062116
0.0001925	0.057439	0.00154612	-0.062106
0.0001975	0.057473	0.00164675	-0.062096
0.0002025	0.057505	0.00175553	-0.062085
0.0002075	0.05754	0.00187396	-0.062075
0.0002125	0.057573	0.00200487	-0.062064
0.0002175	0.057608	0.00215776	-0.062054
0.0002225	0.057642	0.00236262	-0.062043
0.0002275	0.057678	0.00396508	-0.062033
0.000228125	0.057683	0.0889091	-0.062031
0.00022828125	0.057685	0.0904096	-0.062031
0.0002284375	0.057687	0.0898013	-0.06203
0.00022859375	0.057689	0.0894134	-0.06203
0.00022875	0.057692	0.0891577	-0.06203
0.00022890625	0.057695	0.0889753	-0.06203
0.00022921875	0.057699	0.0887258	-0.062029
0.00022984375	0.057707	0.0884247	-0.062027
0.000230625	0.057719	0.0881804	-0.062026
0.000231875	0.057737	0.0878849	-0.062023
0.0002325	0.057746	0.0877542	-0.062022
0.00023375	0.057764	0.0875055	-0.062019
0.00023625	0.057801	0.0870203	-0.062014
0.0002375	0.057819	0.0867735	-0.062011
0.00024	0.057856	0.0862574	-0.062006
0.000245	0.05793	0.0850418	-0.061995
0.0002475	0.057968	0.0838916	-0.06199
0.00025	0.058006	0.0827417	-0.061985
0.0002525	0.058042	0.0716671	-0.061979
0.000253125	0.058052	0.0226449	-0.061978
0.00025328125	0.058053	0.00732661	-0.061978
0.0002534375	0.058055	0.00150712	-0.061978
0.00025359375	0.058056	0.000135559	-0.061977
0.00025375	0.058058	2.91193e-05	-0.061977
0.00025390625	0.05806	0.000281384	-0.061977
0.00025421875	0.058061	0.000947167	-0.061975
0.00025484375	0.058067	0.00196563	-0.061974
0.000255	0.058068	0.00215072	-0.061974
0.000255625	0.058074	0.00271248	-0.061973
0.000256875	0.058084	0.00336295	-0.06197
0.000259375	0.058107	0.00398149	-0.061965
0.000264375	0.05815	0.00453051	-0.061954
0.000269375	0.058195	0.00485637	-0.061944
0.000274375	0.058239	0.00511946	-0.061933
0.000279375	0.058285	0.00536011	-0.061922
0.000284375	0.05833	0.00559346	-0.061912
0.0002875	0.058359	0.00573923	-0.061905
0.000289375	0.058377	0.00582679	-0.061901
0.000294375	0.058422	0.00606425	-0.06189
0.000299375	0.058469	0.00630835	-0.061879
0.000304375	0.058517	0.00656101	-0.061869
0.000309375	0.058564	0.00682378	-0.061858
0.000314375	0.058611	0.00709802	-0.061847
0.000319375	0.058659	0.00738498	-0.061836
0.000324375	0.058709	0.00768584	-0.061826
0.0003275	0.058738	0.0078833	-0.061819
0.000329375	0.058757	0.0080019	-0.061815
0.000334375	0.058805	0.00833441	-0.061804
0.000339375	0.058854	0.00868439	-0.061793
0.000344375	0.058906	0.00905309	-0.061783
0.000349375	0.058956	0.00944174	-0.061772
0.000354375	0.059006	0.0098516	-0.061761
0.000359375	0.059057	0.010284	-0.06175
0.000364375	0.059108	0.0107401	-0.06174
0.0003675	0.059141	0.0110409	-0.061733
0.000369375	0.059161	0.0112215	-0.061729
0.000374375	0.059211	0.0117294	-0.061718
0.000379375	0.059264	0.012265	-0.061707
0.000384375	0.059317	0.0128292	-0.061696
0.000389375	0.05937	0.0134234	-0.061685
0.000394375	0.059422	0.0140485	-0.061674
0.000399375	0.059476	0.0147015	-0.061663
0.000404375	0.059529	0.0153913	-0.061652
0.0004075	0.059563	0.0158423	-0.061645
0.000409375	0.059584	0.0161132	-0.061641
0.000414375	0.059638	0.0168685	-0.06163
0.000419375	0.059693	0.0176568	-0.061619
0.000424375	0.059748	0.0184778	-0.061608
0.000429375	0.059805	0.0193307	-0.061597
0.000434375	0.05986	0.0202146	-0.061586
0.000439375	0.059916	0.0211277	-0.061575
0.000444375	0.059973	0.0220682	-0.061564
0.0004475	0.060008	0.0226717	-0.061557
0.000449375	0.060029	0.023034	-0.061553
0.000454375	0.060087	0.0240224	-0.061542
0.000459375	0.060145	0.0250298	-0.061531
0.000469375	0.06026	0.0270872	-0.061508
0.000474375	0.060318	0.0281286	-0.061497
0.000479375	0.060376	0.0291722	-0.061486
0.000484375	0.060436	0.0302128	-0.061475
0.0004875	0.060473	0.0308579	-0.061468
0.000489375	0.060496	0.0312452	-0.061464
0.000494375	0.060555	0.0322637	-0.061453
0.000504375	0.060675	0.0342332	-0.06143
0.000509375	0.060734	0.0351682	-0.061419
0.000514375	0.060795	0.0360651	-0.061408
0.000519375	0.060855	0.0369136	-0.061396
0.000524375	0.060916	0.0377056	-0.061385
0.0005275	0.060955	0.03816	-0.061378
0.000529375	0.060979	0.0384328	-0.061374
0.000539375	0.061102	0.0396561	-0.061351
0.000549375	0.061225	0.0405041	-0.061329
0.000559375	0.06135	0.0408891	-0.061306
0.0005675	0.061452	0.0407541	-0.061288
0.000589375	0.061724	0.0384406	-0.061238
0.0006075	0.061951	0.0339573	-0.061197
0.000609375	0.061974	0.0334928	-0.061193
0.000619375	0.062097	0.0302717	-0.06117
0.000629375	0.06222	0.0268357	-0.061147
0.000639375	0.062342	0.0234276	-0.061124
0.0006475	0.062441	0.0208476	-0.061105
0.000649375	0.062465	0.0202521	-0.061101
0.000659375	0.062584	0.0174371	-0.061077
0.000669375	0.062706	0.0150411	-0.061054
0.0006875	0.062924	0.0118122	-0.061012
0.000689375	0.062947	0.0114782	-0.061008
0.000709375	0.063187	0.00928875	-0.060961
0.0007275	0.063403	0.00823984	-0.060918
0.000729375	0.063425	0.00813148	-0.060914
0.000749375	0.063664	0.00776891	-0.060867
0.000759375	0.063781	0.00784542	-0.060843
0.0007675	0.063878	0.00804016	-0.060824
0.000769375	0.0639	0.00808524	-0.06082
0.000779375	0.064017	0.00848883	-0.060796
0.000789375	0.064136	0.00906105	-0.060772
0.000799375	0.064252	0.00981046	-0.060748
0.0008075	0.064347	0.0105726	-0.060729
0.000809375	0.064368	0.0107487	-0.060724
0.000819375	0.064485	0.0118901	-0.0607
0.000829375	0.0646	0.01325	-0.060676
0.0008475	0.06481	0.0163688	-0.060633
0.000849375	0.064831	0.0166923	-0.060628
0.0008875	0.065271	0.026392	-0.060537
0.000889375	0.065292	0.0268713	-0.060532
0.000899375	0.065409	0.0301441	-0.060508
0.000909375	0.065525	0.0336942	-0.060484
0.000919375	0.065642	0.0374963	-0.06046
0.0009275	0.065736	0.0407576	-0.06044
0.000929375	0.065757	0.0415113	-0.060435
0.000939375	0.065874	0.0456862	-0.060411
0.000949375	0.065992	0.0499498	-0.060386
0.000959375	0.066112	0.0542158	-0.060362
0.0009675	0.066208	0.0576018	-0.060342
0.000969375	0.06623	0.0583843	-0.060337
0.000979375	0.066349	0.062343	-0.060313
0.000989375	0.06647	0.065965	-0.060288
0.000999375	0.06659	0.0691171	-0.060263
0.0010075	0.066688	0.0711836	-0.060243
0.001009375	0.066711	0.0716613	-0.060238
0.001029375	0.066952	0.0743864	-0.060188
0.001039375	0.067072	0.074325	-0.060163
0.0010475	0.06717	0.0734215	-0.060143
0.001049375	0.067192	0.073213	-0.060138
0.001059375	0.067312	0.0710392	-0.060113
0.001064375	0.067371	0.0695708	-0.060101
0.001069375	0.067429	0.0678676	-0.060088
0.001074375	0.067489	0.0659514	-0.060076
0.001079375	0.067546	0.0638474	-0.060063
0.001084375	0.067604	0.0615851	-0.060051
0.0010875	0.06764	0.0600924	-0.060043
0.001089375	0.067662	0.0591966	-0.060038
0.001094375	0.067719	0.0567152	-0.060026
0.001099375	0.067775	0.0541728	-0.060013
0.001104375	0.067831	0.051601	-0.06
0.001109375	0.067886	0.0490283	-0.059988
0.001114375	0.067942	0.0464807	-0.059975
