#beta	transition energy [Ry]	dipole strength	initial state energy [Ry]
1e-07	0.055635	0.0011764	-0.062579
1e-05	0.055538	0.0011764	-0.06246
3e-05	0.055516	0.0011764	-0.06238
4.75e-05	0.055511	0.0011764	-0.062309
6.25e-05	0.055517	0.0011764	-0.062248
7.5e-05	0.05553	0.0011764	-0.062198
8.75e-05	0.055548	0.0011764	-0.062147
9.75e-05	0.055568	0.0011764	-0.062107
0.0001025	0.055578	0.0011764	-0.062086
0.0001075	0.05559	0.00117512	-0.062066
0.0001125	0.055603	0.00117353	-0.062046
0.0001175	0.055617	0.00117159	-0.062026
0.0001225	0.05563	0.00116926	-0.062005
0.0001275	0.055646	0.00116651	-0.061985
0.00013	0.055654	0.00116492	-0.061975
0.0001325	0.055661	0.00116333	-0.061965
0.0001375	0.055677	0.00115969	-0.061944
0.0001425	0.055695	0.00115557	-0.061924
0.0001475	0.055712	0.00115092	-0.061903
0.00015	0.055722	0.00114833	-0.061893
0.0001525	0.055731	0.00114575	-0.061883
0.0001575	0.05575	0.00114002	-0.061862
0.0001625	0.05577	0.0011337	-0.061842
0.0001675	0.05579	0.00112676	-0.061821
0.00017	0.055801	0.00112297	-0.061811
0.0001725	0.055811	0.00111919	-0.061801
0.0001775	0.055832	0.00111098	-0.06178
0.0001825	0.055854	0.00110209	-0.061759
0.0001875	0.055877	0.00109249	-0.061739
0.0001925	0.055899	0.00108215	-0.061718
0.0001975	0.055924	0.00107107	-0.061698
0.0002025	0.055947	0.00105921	-0.061677
0.0002075	0.055971	0.00104655	-0.061656
0.00021	0.055984	0.00103981	-0.061646
0.0002125	0.055997	0.00103308	-0.061636
0.0002175	0.056022	0.00101877	-0.061615
0.0002225	0.056047	0.00100359	-0.061594
0.0002275	0.056073	0.000987515	-0.061573
0.00023	0.056086	0.000979013	-0.061563
0.0002325	0.0561	0.000970517	-0.061553
0.0002375	0.056127	0.000952566	-0.061532
0.0002425	0.056154	0.000933625	-0.061511
0.0002475	0.056181	0.000913655	-0.06149
0.00025	0.056195	0.000903137	-0.06148
0.0002525	0.05621	0.000892625	-0.06147
0.0002625	0.056266	0.000847195	-0.061428
0.0002675	0.056294	0.000822682	-0.061407
0.00027	0.056309	0.000809786	-0.061397
0.0002725	0.056324	0.000796893	-0.061387
0.0002775	0.056353	0.000769754	-0.061366
