#beta	transition energy [Ry]	dipole strength	initial state energy [Ry]
1.5625e-07	0.04861	15.9605	-0.111111
2.75e-05	0.048556	15.9605	-0.111166
8.75e-05	0.048437	15.9605	-0.111286
0.0001275	0.048359	15.9605	-0.111366
0.0001675	0.04828	15.9574	-0.111445
0.0002075	0.048201	15.9598	-0.111524
0.0002475	0.048125	15.9624	-0.111604
0.0002875	0.048047	15.9654	-0.111683
0.0003275	0.04797	15.9684	-0.111762
0.0003675	0.047894	15.9683	-0.111841
0.0004075	0.047818	15.9684	-0.111919
0.0004475	0.047741	15.9685	-0.111997
0.0004875	0.047667	15.9687	-0.112076
0.0005275	0.047592	15.9683	-0.112154
0.0005675	0.047518	15.968	-0.112233
0.0006075	0.047444	15.9684	-0.112311
0.0006475	0.047371	15.969	-0.112389
0.0006875	0.047297	15.9694	-0.112466
0.0007275	0.047225	15.97	-0.112544
0.0007675	0.047152	15.9708	-0.112621
0.0008075	0.047081	15.9717	-0.112699
0.0008475	0.047009	15.9722	-0.112776
0.0008875	0.046938	15.9728	-0.112853
0.0009275	0.046868	15.9733	-0.11293
0.0009675	0.046797	15.9739	-0.113007
0.0010075	0.046728	15.9742	-0.113084
0.0010475	0.046659	15.9747	-0.113161
0.0010875	0.046589	15.9754	-0.113237
0.0011275	0.046521	15.9761	-0.113314
0.0011675	0.046453	15.9767	-0.11339
0.0012075	0.046385	15.9774	-0.113466
0.0012475	0.046318	15.9782	-0.113542
0.0012875	0.046251	15.9791	-0.113618
0.0013275	0.046184	15.9797	-0.113693
0.0013675	0.046118	15.9805	-0.113769
0.0014075	0.046052	15.9811	-0.113844
0.0014475	0.045987	15.9819	-0.11392
0.0014875	0.045922	15.9824	-0.113995
0.0015275	0.045858	15.9831	-0.11407
0.0015675	0.045793	15.9838	-0.114145
0.0016075	0.045729	15.9846	-0.114219
0.0016475	0.045666	15.9852	-0.114294
0.0016875	0.045603	15.986	-0.114369
0.0017275	0.04554	15.9867	-0.114443
0.0017675	0.045477	15.9876	-0.114517
0.0018075	0.045415	15.9881	-0.114591
0.0018475	0.045354	15.9889	-0.114665
0.0018875	0.045293	15.9895	-0.114739
0.0019275	0.045232	15.9903	-0.114813
0.0019675	0.045172	15.9908	-0.114887
0.0020075	0.045112	15.9915	-0.11496
0.0020475	0.045052	15.992	-0.115033
0.0020875	0.044992	15.9927	-0.115106
0.0021275	0.044933	15.9932	-0.115179
0.0021675	0.044875	15.9938	-0.115252
0.0022075	0.044817	15.9944	-0.115325
0.0022475	0.044759	15.995	-0.115398
0.0022875	0.044702	15.9954	-0.115471
0.0023275	0.044645	15.996	-0.115543
0.0023675	0.044588	15.9964	-0.115615
0.0024075	0.044531	15.9969	-0.115687
0.0024475	0.044475	15.9972	-0.115759
0.0024875	0.044419	15.9976	-0.115831
0.0025275	0.044364	15.9978	-0.115903
0.0025675	0.044309	15.9982	-0.115975
0.0026075	0.044254	15.9984	-0.116046
0.0026475	0.044201	15.9987	-0.116118
0.0026875	0.044146	15.9989	-0.116189
0.0027275	0.044093	15.9991	-0.11626
0.0027675	0.044039	15.9992	-0.116331
0.0028075	0.043986	15.9994	-0.116402
0.0028475	0.043934	15.9993	-0.116473
0.0028875	0.043881	15.9994	-0.116543
0.0029275	0.043828	15.9993	-0.116613
0.0029675	0.043778	15.9993	-0.116684
0.0030075	0.043726	15.9991	-0.116754
0.0030475	0.043676	15.999	-0.116825
0.0030875	0.043624	15.9987	-0.116894
0.0031275	0.043574	15.9985	-0.116964
0.0031675	0.043524	15.9982	-0.117034
0.0032075	0.043475	15.9979	-0.117104
0.0032475	0.043425	15.9974	-0.117173
0.0032875	0.043376	15.997	-0.117243
0.0033275	0.043328	15.9965	-0.117312
0.0033675	0.043279	15.996	-0.117381
0.0034075	0.043231	15.9953	-0.11745
0.0034475	0.043183	15.9947	-0.117519
0.0034875	0.043135	15.9939	-0.117587
0.0035275	0.043088	15.9932	-0.117656
0.0035675	0.043041	15.9923	-0.117724
0.0036075	0.042995	15.9914	-0.117793
0.0036475	0.042948	15.9904	-0.117861
0.0036875	0.042902	15.9895	-0.117929
0.0037275	0.042856	15.9884	-0.117997
0.0037675	0.042811	15.9873	-0.118065
0.0038075	0.042766	15.9861	-0.118133
0.0038475	0.042722	15.9849	-0.118201
0.0038875	0.042676	15.9835	-0.118268
0.0039275	0.042632	15.9822	-0.118335
0.0039675	0.042588	15.9808	-0.118402
0.0040075	0.042545	15.9793	-0.11847
0.0040475	0.042501	15.9777	-0.118537
0.0040875	0.042458	15.9761	-0.118604
0.0041275	0.042415	15.9744	-0.11867
0.0041675	0.042372	15.9727	-0.118737
0.0042475	0.042288	15.969	-0.11887
0.0043275	0.042204	15.965	-0.119002
0.0044075	0.042122	15.9607	-0.119134
0.0044875	0.042041	15.9562	-0.119265
0.0045675	0.041961	15.9514	-0.119396
0.0046475	0.041882	15.9464	-0.119527
0.0047275	0.041804	15.941	-0.119657
0.0048075	0.041726	15.9354	-0.119786
0.0048875	0.04165	15.9295	-0.119915
0.0049675	0.041576	15.9233	-0.120044
0.0050475	0.041501	15.9168	-0.120172
0.0051275	0.041427	15.9101	-0.120299
0.0052075	0.041356	15.903	-0.120427
0.0052875	0.041284	15.8957	-0.120553
0.0053675	0.041213	15.8881	-0.120679
0.0054475	0.041144	15.8802	-0.120805
0.0055275	0.041075	15.872	-0.12093
0.0056075	0.041008	15.8635	-0.121055
0.0056875	0.04094	15.8548	-0.121179
0.0057675	0.040875	15.8457	-0.121303
0.0058475	0.040809	15.8364	-0.121426
0.0059275	0.040744	15.8268	-0.121549
0.0060075	0.040682	15.8169	-0.121672
0.0060875	0.040619	15.8068	-0.121794
0.0061675	0.040556	15.7963	-0.121915
0.0062475	0.040495	15.7856	-0.122036
0.0063275	0.040435	15.7746	-0.122157
0.0064075	0.040375	15.7634	-0.122277
0.0064875	0.040317	15.7519	-0.122397
0.0065675	0.040259	15.74	-0.122516
0.0066475	0.040201	15.728	-0.122635
0.0067275	0.040144	15.7156	-0.122753
0.0068075	0.040089	15.703	-0.122871
0.0068875	0.040034	15.6902	-0.122989
0.0069675	0.039979	15.6771	-0.123106
0.0070475	0.039925	15.6637	-0.123222
0.0071275	0.039872	15.6501	-0.123338
0.0072075	0.03982	15.6362	-0.123454
0.0072875	0.039768	15.6221	-0.123569
0.0073675	0.039717	15.6078	-0.123684
0.0074475	0.039667	15.5932	-0.123799
0.0075275	0.039617	15.5783	-0.123913
0.0076075	0.039568	15.5632	-0.124026
0.0076875	0.039519	15.5479	-0.124139
0.0077675	0.039472	15.5324	-0.124252
0.0078475	0.039425	15.5166	-0.124365
0.0079275	0.039378	15.5006	-0.124476
0.0080075	0.039332	15.4844	-0.124588
0.0080875	0.039287	15.468	-0.124699
0.0081675	0.039243	15.4513	-0.12481
0.0082475	0.039198	15.4345	-0.12492
0.0083275	0.039156	15.4173	-0.12503
0.0084075	0.039112	15.4001	-0.125139
0.0084875	0.03907	15.3826	-0.125248
0.0085675	0.039028	15.3649	-0.125357
0.0086475	0.038987	15.347	-0.125465
0.0087275	0.038946	15.3289	-0.125573
0.0088075	0.038905	15.3106	-0.12568
0.0088875	0.038866	15.2922	-0.125787
0.0089675	0.038827	15.2735	-0.125894
0.0090475	0.038788	15.2547	-0.126
0.0091275	0.03875	15.2356	-0.126106
0.0092075	0.038712	15.2165	-0.126211
0.0092875	0.038676	15.1971	-0.126316
0.0093675	0.038639	15.1776	-0.12642
0.0094475	0.038603	15.1578	-0.126525
0.0095275	0.038567	15.138	-0.126629
0.0096075	0.038532	15.1179	-0.126732
0.0096875	0.038498	15.0978	-0.126835
0.0097675	0.038464	15.0773	-0.126938
0.0098475	0.03843	15.0568	-0.12704
0.0099275	0.038397	15.0361	-0.127142
0.0100075	0.038364	15.0153	-0.127243
0.0100875	0.038332	14.9944	-0.127344
0.0101675	0.0383	14.9732	-0.127445
0.0102475	0.038269	14.952	-0.127546
0.0103275	0.038239	14.9306	-0.127646
0.0104075	0.038208	14.9091	-0.127745
0.0104875	0.038178	14.8874	-0.127845
0.0105675	0.038148	14.8655	-0.127943
0.0106475	0.03812	14.8437	-0.128042
0.0107275	0.038091	14.8216	-0.12814
0.0108075	0.038063	14.7994	-0.128238
0.0108875	0.038035	14.777	-0.128335
0.0109675	0.038009	14.7546	-0.128433
0.0110475	0.037981	14.7321	-0.128529
0.0111275	0.037955	14.7095	-0.128626
0.0112075	0.037929	14.6867	-0.128722
0.0112875	0.037902	14.6638	-0.128817
0.0113675	0.037878	14.6407	-0.128913
0.0114475	0.037853	14.6177	-0.129008
0.0115275	0.037828	14.5945	-0.129102
0.0116075	0.037804	14.5711	-0.129196
0.0116875	0.037781	14.5478	-0.12929
0.0117675	0.037758	14.5243	-0.129384
0.0118475	0.037734	14.5006	-0.129477
0.0119275	0.037712	14.4769	-0.12957
0.0120075	0.037691	14.4532	-0.129663
0.0120875	0.037668	14.4293	-0.129755
0.0121675	0.037647	14.4053	-0.129847
0.0122475	0.037625	14.3812	-0.129938
0.0123275	0.037604	14.3571	-0.130029
0.0124075	0.037584	14.3329	-0.13012
0.0124875	0.037565	14.3086	-0.130211
0.0125675	0.037545	14.2842	-0.130301
0.0126475	0.037525	14.2598	-0.13039
0.0127675	0.037497	14.223	-0.130524
0.0128475	0.037479	14.1983	-0.130613
0.0129275	0.037461	14.1737	-0.130702
0.0130075	0.037444	14.1488	-0.130791
0.0130875	0.037427	14.124	-0.130879
0.0131675	0.037409	14.0991	-0.130966
0.0132475	0.037392	14.0741	-0.131053
0.0133275	0.037376	14.0491	-0.13114
0.0134075	0.03736	14.0239	-0.131227
0.0134875	0.037345	13.9989	-0.131314
0.0135675	0.03733	13.9736	-0.1314
0.0136475	0.037315	13.9484	-0.131486
0.0137275	0.037301	13.923	-0.131572
0.0138075	0.037287	13.8976	-0.131657
0.0138875	0.037273	13.8722	-0.131742
0.0139675	0.037259	13.8467	-0.131826
0.0140475	0.037245	13.8212	-0.13191
0.0141275	0.037232	13.7956	-0.131994
0.0142075	0.037219	13.77	-0.132077
0.0142875	0.037208	13.7443	-0.132161
0.0143675	0.037196	13.7186	-0.132244
0.0144475	0.037184	13.6928	-0.132327
0.0145275	0.037172	13.667	-0.132409
0.0146075	0.037161	13.6412	-0.132491
0.0146875	0.03715	13.6153	-0.132573
0.0147675	0.03714	13.5893	-0.132655
0.0148475	0.03713	13.5634	-0.132736
0.0149275	0.037119	13.5374	-0.132816
0.0150075	0.03711	13.5114	-0.132897
0.0150875	0.0371	13.4854	-0.132977
0.0151675	0.037093	13.4593	-0.133058
0.0152475	0.037083	13.4331	-0.133137
0.0153275	0.037075	13.407	-0.133217
0.0154075	0.037067	13.3808	-0.133296
0.0154875	0.037059	13.3545	-0.133375
0.0155675	0.037052	13.3283	-0.133454
0.0156475	0.037045	13.302	-0.133532
0.0157275	0.037038	13.2758	-0.13361
0.0158075	0.03703	13.2494	-0.133687
0.0158875	0.037025	13.2231	-0.133765
0.0159675	0.037018	13.1967	-0.133842
0.0160075	0.037016	13.1835	-0.133881
0.0161275	0.037008	13.1439	-0.133996
0.0161675	0.037005	13.1307	-0.134034
0.0162075	0.037002	13.1174	-0.134072
0.0162475	0.036999	13.1042	-0.13411
0.0162875	0.036997	13.091	-0.134148
0.0163275	0.036995	13.0777	-0.134186
0.0163675	0.036993	13.0646	-0.134224
0.0164075	0.036991	13.0513	-0.134262
0.0164475	0.036989	13.038	-0.1343
0.0164875	0.036986	13.0248	-0.134337
0.0165275	0.036984	13.0116	-0.134375
0.0165675	0.036982	12.9983	-0.134412
0.0166075	0.03698	12.985	-0.134449
0.0166875	0.036976	12.9585	-0.134524
0.0167275	0.036975	12.9452	-0.134561
0.0167675	0.036974	12.9319	-0.134599
0.0168075	0.036972	12.9186	-0.134636
0.0168475	0.036971	12.9054	-0.134673
0.0168875	0.03697	12.8921	-0.13471
0.0169275	0.036967	12.8788	-0.134746
0.0169675	0.036966	12.8654	-0.134783
0.0170075	0.036965	12.8522	-0.13482
0.0170475	0.036964	12.8389	-0.134857
0.0170875	0.036962	12.8256	-0.134893
0.0171275	0.036962	12.8123	-0.13493
0.0171675	0.036961	12.799	-0.134966
0.0172475	0.03696	12.7724	-0.13504
0.0172875	0.036959	12.7591	-0.135076
0.0173275	0.036958	12.7458	-0.135112
0.0173675	0.036957	12.7324	-0.135148
0.0174075	0.036957	12.7191	-0.135184
0.0174475	0.036956	12.7058	-0.13522
0.0174875	0.036956	12.6925	-0.135256
0.0175275	0.036955	12.6791	-0.135292
0.0175675	0.036955	12.6658	-0.135328
0.0176075	0.036955	12.6524	-0.135364
0.0176475	0.036956	12.6391	-0.1354
0.0176875	0.036955	12.6258	-0.135435
0.0177275	0.036954	12.6125	-0.13547
0.0178075	0.036956	12.5858	-0.135542
0.0178475	0.036956	12.5724	-0.135577
0.0178875	0.036955	12.559	-0.135612
0.0179275	0.036957	12.5457	-0.135648
0.0179675	0.036957	12.5324	-0.135683
0.0180075	0.036958	12.519	-0.135718
0.0180475	0.036958	12.5056	-0.135753
0.0180875	0.036959	12.4923	-0.135788
0.0181275	0.036959	12.479	-0.135823
0.0181675	0.03696	12.4656	-0.135858
0.0182075	0.036961	12.4522	-0.135893
0.0182475	0.036962	12.4389	-0.135928
0.0182875	0.036962	12.4256	-0.135962
0.0183675	0.036964	12.3989	-0.136031
0.0184075	0.036965	12.3855	-0.136066
0.0184475	0.036966	12.3722	-0.1361
0.0185275	0.036969	12.3455	-0.136169
0.0185675	0.036971	12.3321	-0.136204
0.0186075	0.036972	12.3188	-0.136238
0.0186875	0.036975	12.2921	-0.136306
0.0187275	0.036977	12.2787	-0.13634
0.0187675	0.036979	12.2654	-0.136374
0.0188475	0.036981	12.2386	-0.136441
0.0188875	0.036983	12.2252	-0.136475
0.0189275	0.036986	12.2119	-0.136509
0.0190075	0.03699	12.1852	-0.136576
0.0190475	0.036993	12.1718	-0.13661
0.0190875	0.036994	12.1585	-0.136643
0.0191675	0.036999	12.1318	-0.13671
0.0192075	0.037001	12.1184	-0.136743
0.0192475	0.037003	12.105	-0.136776
0.0193275	0.037009	12.0784	-0.136843
0.0193675	0.037012	12.065	-0.136876
0.0194075	0.037014	12.0517	-0.136909
0.0194875	0.03702	12.025	-0.136975
0.0195275	0.037023	12.0116	-0.137008
0.0195675	0.037026	11.9983	-0.137041
0.0196475	0.037031	11.9717	-0.137105
0.0196875	0.037035	11.9583	-0.137138
0.0197275	0.037039	11.945	-0.137171
0.0198075	0.037045	11.9184	-0.137236
0.0198475	0.037048	11.905	-0.137268
0.0198875	0.037052	11.8917	-0.1373
0.0199675	0.037059	11.8651	-0.137365
0.0200075	0.037063	11.8517	-0.137397
0.0200475	0.037067	11.8384	-0.137429
0.0201275	0.037074	11.8118	-0.137493
0.0201675	0.037078	11.7984	-0.137525
0.0202075	0.037082	11.7851	-0.137557
0.0202875	0.03709	11.7585	-0.13762
0.0203275	0.037095	11.7451	-0.137652
0.0203675	0.037098	11.7319	-0.137683
0.0204475	0.037107	11.7053	-0.137746
0.0204875	0.037111	11.692	-0.137777
0.0205275	0.037116	11.6787	-0.137809
0.0206075	0.037125	11.6521	-0.137872
0.0206475	0.037129	11.6388	-0.137903
0.0206875	0.037134	11.6255	-0.137934
0.0207675	0.037144	11.599	-0.137996
0.0208075	0.037149	11.5857	-0.138027
0.0208475	0.037154	11.5724	-0.138058
0.0209275	0.037163	11.5459	-0.138119
0.0209675	0.037168	11.5326	-0.13815
0.0210075	0.037173	11.5194	-0.13818
0.0210875	0.037183	11.4928	-0.138241
0.0211275	0.037189	11.4795	-0.138272
0.0211675	0.037194	11.4663	-0.138302
0.0212475	0.037206	11.4398	-0.138364
0.0212875	0.037211	11.4265	-0.138394
0.0213275	0.037217	11.4133	-0.138424
0.0214075	0.037229	11.3869	-0.138485
0.0214475	0.037234	11.3736	-0.138515
0.0214875	0.03724	11.3604	-0.138545
0.0215675	0.037252	11.334	-0.138604
0.0216075	0.037258	11.3207	-0.138634
0.0216475	0.037264	11.3076	-0.138664
0.0217275	0.037276	11.2812	-0.138723
0.0217675	0.037283	11.268	-0.138753
0.0218075	0.037289	11.2548	-0.138783
0.0218875	0.037302	11.2284	-0.138842
0.0219275	0.037308	11.2151	-0.138871
0.0219675	0.037316	11.202	-0.138901
0.0220475	0.037329	11.1756	-0.13896
0.0220875	0.037336	11.1624	-0.138989
0.0221275	0.037343	11.1493	-0.139018
