#beta	transition energy [Ry]	dipole strength	initial state energy [Ry]
0.0	0.102847	0.00275283	-0.111112
7.25e-05	0.102743	0.00275283	-0.111256
0.0001025	0.102724	0.00275283	-0.111316
0.0001075	0.102721	0.00276845	-0.111325
0.0001125	0.10272	0.00278472	-0.111335
0.0001175	0.102719	0.00280167	-0.111345
0.0001225	0.102718	0.00281927	-0.111355
0.0001275	0.102718	0.00283752	-0.111365
0.0001325	0.102718	0.00285642	-0.111375
0.0001375	0.102718	0.00287597	-0.111385
0.0001425	0.102719	0.00289617	-0.111395
0.0001475	0.10272	0.002917	-0.111405
0.0001525	0.10272	0.00293848	-0.111414
0.0001575	0.102722	0.00296059	-0.111424
0.0001625	0.102724	0.00298334	-0.111434
0.0001675	0.102726	0.00300673	-0.111444
0.0001775	0.102732	0.0030554	-0.111464
0.0001825	0.102735	0.00308069	-0.111474
0.0001875	0.102738	0.00310662	-0.111483
0.0001925	0.102742	0.00313317	-0.111493
0.0001975	0.102746	0.00316037	-0.111503
0.0002025	0.102751	0.00318822	-0.111513
0.0002125	0.102761	0.00324585	-0.111533
0.0002175	0.102766	0.00327564	-0.111543
0.0002225	0.102772	0.00330609	-0.111553
0.0002275	0.102778	0.00333721	-0.111563
0.0002325	0.102784	0.00336899	-0.111572
0.0002375	0.10279	0.00340145	-0.111582
0.0002475	0.102805	0.00346844	-0.111602
0.0002525	0.102812	0.00350298	-0.111612
0.0002575	0.10282	0.00353823	-0.111622
0.0002625	0.102827	0.0035742	-0.111631
0.0002675	0.102836	0.0036109	-0.111641
0.0002725	0.102844	0.00364834	-0.111651
0.0002825	0.102862	0.00372541	-0.11167
0.0002875	0.102871	0.00376516	-0.11168
0.0002925	0.102881	0.0038057	-0.11169
0.0002975	0.102891	0.00384706	-0.1117
0.0003025	0.1029	0.00388926	-0.111709
0.0003075	0.102911	0.00393231	-0.111719
0.0003175	0.102932	0.00402109	-0.111739
0.0003275	0.102954	0.00411361	-0.111758
0.0003375	0.102978	0.00421014	-0.111778
0.0003475	0.103002	0.00431107	-0.111797
0.0003575	0.103026	0.00441688	-0.111816
0.0003675	0.103053	0.00452825	-0.111836
0.0003775	0.103079	0.00464617	-0.111855
0.0003875	0.103107	0.00477218	-0.111875
0.0003975	0.103135	0.00490864	-0.111894
0.0004075	0.103165	0.00505952	-0.111914
0.0004175	0.103195	0.00523193	-0.111933
0.0004275	0.103226	0.0054397	-0.111953
0.0004375	0.103258	0.00571371	-0.111972
0.0004475	0.10329	0.0061384	-0.111991
0.0004575	0.103323	0.0070503	-0.112011
0.0004625	0.103341	0.00821813	-0.112021
0.0004675	0.103358	0.0121615	-0.11203
0.00046875	0.103363	0.0149517	-0.112033
0.00047	0.103368	0.0199182	-0.112035
0.000470625	0.103371	0.0234132	-0.112036
0.00047125	0.103375	0.0270462	-0.112038
0.000471875	0.103379	0.0298962	-0.112039
0.0004725	0.103383	0.0314091	-0.11204
0.000473125	0.103388	0.0318517	-0.112041
0.000474375	0.103399	0.0313783	-0.112044
0.000475625	0.103409	0.0305588	-0.112046
0.000476875	0.10342	0.0298382	-0.112048
0.000478125	0.103431	0.029252	-0.112051
0.000480625	0.103454	0.0283726	-0.112056
0.000485625	0.103498	0.0272186	-0.112065
0.0004875	0.103515	0.0269333	-0.112069
0.000495625	0.10359	0.0256973	-0.112085
0.000505625	0.10368	0.0243936	-0.112104
0.000515625	0.103772	0.0230149	-0.112123
0.000525625	0.103863	0.0213863	-0.112142
0.000535625	0.103955	0.019258	-0.112162
0.000540625	0.103999	0.0178634	-0.112171
0.000545625	0.104044	0.0161093	-0.112181
0.000548125	0.104066	0.0150485	-0.112186
0.000550625	0.104088	0.0138349	-0.112191
0.000553125	0.104108	0.0124495	-0.112195
0.000555625	0.104129	0.0108873	-0.1122
0.000558125	0.104149	0.00917482	-0.112205
0.000560625	0.104168	0.00738716	-0.11221
0.000561875	0.104176	0.0065031	-0.112212
0.000563125	0.104185	0.00565006	-0.112215
0.000564375	0.104194	0.00484608	-0.112217
0.000565625	0.104201	0.00410656	-0.112219
0.000566875	0.10421	0.00344253	-0.112222
0.0005675	0.104213	0.00317164	-0.112223
0.000569375	0.104225	0.00235897	-0.112227
0.000571875	0.104238	0.00158562	-0.112231
0.000574375	0.104251	0.00106486	-0.112236
0.000576875	0.104264	0.000727569	-0.112241
0.000579375	0.104276	0.000514515	-0.112246
0.000581875	0.104287	0.000382545	-0.11225
0.000584375	0.104299	0.00030294	-0.112255
0.000589375	0.104321	0.000235781	-0.112265
0.000594375	0.104341	0.00024015	-0.112274
0.000599375	0.104361	0.00029405	-0.112284
0.000604375	0.104381	0.000394258	-0.112294
0.000609375	0.104399	0.000543294	-0.112303
0.000614375	0.104418	0.000744309	-0.112313
0.000619375	0.104436	0.000999062	-0.112322
0.000624375	0.104454	0.00130741	-0.112332
0.000629375	0.10447	0.00166736	-0.112341
0.000634375	0.104488	0.00207546	-0.112351
0.000644375	0.104521	0.00301772	-0.11237
0.0006475	0.104531	0.00335409	-0.112376
0.000654375	0.104553	0.00409411	-0.112389
0.000664375	0.104586	0.00526585	-0.112408
0.000674375	0.104618	0.00650037	-0.112427
0.000694375	0.104683	0.00906017	-0.112465
0.000704375	0.104716	0.0103481	-0.112484
0.000714375	0.104751	0.0116204	-0.112503
0.000719375	0.104769	0.012246	-0.112513
0.000724375	0.104786	0.0128623	-0.112522
0.0007275	0.104798	0.0132405	-0.112528
0.000729375	0.104805	0.0134675	-0.112532
0.000734375	0.104823	0.0140596	-0.112541
0.000739375	0.104841	0.0146372	-0.11255
0.000749375	0.104879	0.0157419	-0.112569
0.000754375	0.104899	0.0162658	-0.112579
0.000759375	0.104919	0.0167692	-0.112588
0.000764375	0.10494	0.0172506	-0.112598
0.000769375	0.10496	0.017709	-0.112607
0.000774375	0.10498	0.0181435	-0.112616
0.000784375	0.105023	0.0189375	-0.112635
0.000789375	0.105046	0.0192959	-0.112645
0.000794375	0.105067	0.0196279	-0.112654
0.000799375	0.10509	0.0199331	-0.112664
0.000804375	0.105113	0.0202114	-0.112673
0.0008075	0.105127	0.0203684	-0.112679
0.000809375	0.105136	0.0204626	-0.112683
0.000819375	0.105182	0.0208828	-0.112701
0.000829375	0.10523	0.0211925	-0.11272
0.000839375	0.105279	0.0213901	-0.112739
0.000849375	0.105329	0.0214736	-0.112758
0.000859375	0.105378	0.0214395	-0.112776
0.000869375	0.105429	0.0212835	-0.112795
0.000879375	0.105481	0.021	-0.112814
0.0008875	0.105522	0.0206034	-0.112829
0.000899375	0.105583	0.0200239	-0.112851
0.000919375	0.105687	0.0184573	-0.112889
0.000929375	0.105738	0.0174411	-0.112908
0.000939375	0.105788	0.0162714	-0.112926
0.000949375	0.105838	0.014958	-0.112945
0.000959375	0.105887	0.0135205	-0.112964
0.000964375	0.105911	0.0127644	-0.112973
0.0009675	0.105926	0.0122801	-0.112979
0.000969375	0.105934	0.0119896	-0.112982
0.000974375	0.105958	0.011202	-0.112992
0.000979375	0.105981	0.0104074	-0.113001
0.000984375	0.106003	0.00961242	-0.11301
0.000989375	0.106025	0.00882387	-0.113019
0.000994375	0.106048	0.00804853	-0.113029
0.000999375	0.106069	0.00729299	-0.113038
0.001004375	0.106089	0.00656343	-0.113047
0.001009375	0.10611	0.00586542	-0.113056
0.001014375	0.106131	0.00520373	-0.113066
0.001019375	0.10615	0.00458219	-0.113075
0.001024375	0.106169	0.00400369	-0.113084
0.001029375	0.106188	0.00347011	-0.113093
0.001034375	0.106207	0.00298235	-0.113103
0.001039375	0.106225	0.00254043	-0.113112
0.001044375	0.106243	0.00214358	-0.113121
0.0010475	0.106254	0.00192285	-0.113127
0.001049375	0.10626	0.0017904	-0.11313
0.001059375	0.106295	0.00120678	-0.113149
0.001069375	0.106328	0.000769692	-0.113167
0.001079375	0.106361	0.000456397	-0.113186
0.001089375	0.106393	0.000243825	-0.113204
0.001099375	0.106425	0.000110259	-0.113223
0.001109375	0.106456	3.61915e-05	-0.113241
0.001119375	0.106487	4.64467e-06	-0.11326
0.0011275	0.106513	8.39503e-06	-0.113275
0.001139375	0.10655	1.37865e-05	-0.113297
0.001149375	0.106581	3.27368e-05	-0.113315
0.001159375	0.106613	5.05356e-05	-0.113333
0.001169375	0.106646	6.19221e-05	-0.113351
0.001179375	0.10668	6.39642e-05	-0.11337
0.001189375	0.106714	5.61756e-05	-0.113388
0.001194375	0.106731	4.91281e-05	-0.113397
0.001199375	0.106749	4.05709e-05	-0.113406
0.001204375	0.106767	3.11281e-05	-0.113415
0.0012075	0.106779	2.51412e-05	-0.113421
0.001209375	0.106785	2.15506e-05	-0.113424
0.001214375	0.106805	1.26988e-05	-0.113434
0.001224375	0.106843	1.01325e-06	-0.113452
0.001229375	0.106862	2.09568e-07	-0.113461
0.001234375	0.106882	4.13226e-06	-0.11347
0.001239375	0.106903	1.37715e-05	-0.113479
0.001244375	0.106923	3.00569e-05	-0.113488
0.001249375	0.106944	5.38362e-05	-0.113497
0.001259375	0.106988	0.000126771	-0.113516
0.001264375	0.107009	0.000177107	-0.113525
0.001269375	0.107031	0.000237304	-0.113534
0.001274375	0.107053	0.000307702	-0.113543
0.001279375	0.107076	0.00038857	-0.113552
0.001284375	0.107098	0.000480112	-0.113561
0.0012875	0.107113	0.00054752	-0.113567
0.001294375	0.107144	0.000695873	-0.113579
0.001304375	0.107192	0.000956131	-0.113598
0.001314375	0.107238	0.00126217	-0.113616
0.001324375	0.107285	0.00161581	-0.113634
0.001344375	0.107379	0.00247683	-0.11367
0.001364375	0.107473	0.00356839	-0.113706
0.0013675	0.107488	0.00376952	-0.113712
0.001374375	0.107519	0.00421209	-0.113724
0.001384375	0.107564	0.00492743	-0.113742
0.001394375	0.107609	0.00571864	-0.11376
0.001404375	0.107653	0.00658908	-0.113778
0.001414375	0.107697	0.00754105	-0.113796
0.001424375	0.10774	0.00857505	-0.113814
0.001434375	0.107781	0.00969012	-0.113832
0.001444375	0.107823	0.0108834	-0.11385
0.0014475	0.107836	0.0112793	-0.113856
0.001454375	0.107863	0.0121505	-0.113868
0.001464375	0.107902	0.0134854	-0.113886
0.001474375	0.107941	0.0148809	-0.113904
0.001484375	0.107979	0.0163287	-0.113922
0.001494375	0.108017	0.0178195	-0.11394
0.001504375	0.108054	0.0193431	-0.113958
0.001514375	0.108091	0.0208872	-0.113976
0.0015275	0.108139	0.0229163	-0.113999
0.001534375	0.108164	0.0239795	-0.114011
0.001554375	0.108237	0.0269491	-0.114047
