#beta	transition energy [Ry]	dipole strength	initial state energy [Ry]
1.5625e-07	0.0	36.225	-0.0625
4.75e-05	9.5e-05	36.225	-0.062595
8.75e-05	0.000175	36.225	-0.062674
0.0001275	0.000256	36.225	-0.062753
0.0001675	0.000336	36.2261	-0.062831
0.0002075	0.000416	36.2204	-0.062909
0.0002475	0.000497	36.2108	-0.062986
0.0002875	0.000577	36.198	-0.063063
0.0003275	0.000657	36.1826	-0.063139
0.0003675	0.000738	36.1649	-0.063215
0.0004075	0.000819	36.1448	-0.06329
0.0004475	0.000899	36.1226	-0.063365
0.0004875	0.00098	36.0981	-0.063439
0.0005275	0.001062	36.0716	-0.063514
0.0005675	0.001142	36.0429	-0.063587
0.0006075	0.001223	36.0122	-0.06366
0.0006475	0.001304	35.9794	-0.063732
0.0006875	0.001386	35.9446	-0.063805
0.0007275	0.001467	35.9078	-0.063876
0.0007675	0.001548	35.869	-0.063947
0.0008075	0.00163	35.8281	-0.064018
0.0008475	0.001711	35.7854	-0.064088
0.0008875	0.001793	35.7407	-0.064158
0.0009275	0.001875	35.6941	-0.064227
0.0009675	0.001956	35.6456	-0.064296
0.0010075	0.002038	35.5952	-0.064364
0.0010475	0.00212	35.5429	-0.064432
0.0010875	0.002202	35.4888	-0.0645
0.0011275	0.002284	35.4329	-0.064567
0.0011675	0.002366	35.3752	-0.064633
0.0012075	0.002448	35.3157	-0.064699
0.0012475	0.002531	35.2545	-0.064765
0.0012875	0.002613	35.1916	-0.06483
0.0013275	0.002696	35.127	-0.064895
0.0013675	0.002778	35.0606	-0.064959
0.0014075	0.002861	34.9927	-0.065023
0.0014475	0.002944	34.9231	-0.065087
0.0014875	0.003026	34.8519	-0.065149
0.0015275	0.00311	34.7791	-0.065212
0.0015675	0.003192	34.7048	-0.065274
0.0016075	0.003276	34.629	-0.065336
0.0016475	0.003359	34.5517	-0.065397
0.0016875	0.003442	34.4729	-0.065458
0.0017275	0.003525	34.3927	-0.065518
0.0017675	0.003608	34.3111	-0.065578
0.0018075	0.003692	34.228	-0.065638
0.0018475	0.003776	34.1437	-0.065697
0.0018875	0.00386	34.0579	-0.065756
0.0019275	0.003943	33.9709	-0.065814
0.0019675	0.004027	33.8826	-0.065872
0.0020075	0.004111	33.7931	-0.065929
0.0020475	0.004195	33.7024	-0.065986
0.0020875	0.004279	33.6104	-0.066043
0.0021275	0.004363	33.5173	-0.066099
0.0021675	0.004448	33.423	-0.066155
0.0022075	0.004533	33.3277	-0.066211
0.0022475	0.004617	33.2313	-0.066266
0.0022875	0.004702	33.1338	-0.066321
0.0023275	0.004787	33.0353	-0.066375
0.0023675	0.004872	32.9357	-0.066429
0.0024075	0.004956	32.8353	-0.066482
