#beta	transition energy [Ry]	dipole strength	initial state energy [Ry]
3.125e-07	0.046876	0.590135	-0.062501
2.75e-05	0.046935	0.590135	-0.062555
6.25e-05	0.047027	0.590135	-0.062624
0.0001025	0.047151	0.590135	-0.062702
0.0001175	0.047203	0.590737	-0.062731
0.0001325	0.047258	0.591401	-0.062759
0.0001475	0.047316	0.592128	-0.062788
0.0001625	0.047377	0.592901	-0.062817
0.0001775	0.047441	0.593713	-0.062845
0.0001925	0.047507	0.594556	-0.062873
0.0002075	0.047577	0.595411	-0.062902
0.0002225	0.047649	0.596302	-0.06293
0.0002375	0.047723	0.597187	-0.062957
0.0002525	0.0478	0.59807	-0.062985
0.0002675	0.047879	0.59895	-0.063012
0.0002825	0.047962	0.599798	-0.06304
0.0002975	0.048047	0.600627	-0.063067
0.0003175	0.048164	0.601668	-0.063104
0.0003325	0.048255	0.602389	-0.063131
0.0003525	0.048378	0.603271	-0.063166
0.0003725	0.048506	0.604021	-0.063202
0.0003975	0.048671	0.604771	-0.063246
0.0004175	0.048807	0.605191	-0.063281
0.0004375	0.048948	0.605433	-0.063316
0.0004575	0.04909	0.605485	-0.06335
0.0004775	0.049238	0.60533	-0.063385
0.0004975	0.049387	0.604954	-0.063419
0.0005175	0.049539	0.604346	-0.063452
0.0005375	0.049695	0.603492	-0.063486
0.0005575	0.049853	0.60238	-0.063519
0.0005675	0.049934	0.601715	-0.063536
0.0005775	0.050014	0.600999	-0.063552
0.0005875	0.050096	0.600208	-0.063569
0.0005975	0.050178	0.599338	-0.063585
0.0006075	0.05026	0.598392	-0.063601
0.0006175	0.050343	0.597388	-0.063617
0.0006275	0.050428	0.596303	-0.063634
0.0006375	0.050513	0.595136	-0.06365
0.0006475	0.050598	0.593886	-0.063666
0.0006575	0.050683	0.592572	-0.063682
0.0006675	0.050769	0.591173	-0.063698
0.0006775	0.050855	0.589686	-0.063713
0.0006875	0.050942	0.58811	-0.063729
0.0006975	0.05103	0.586465	-0.063745
0.0007075	0.051118	0.58473	-0.06376
0.0007175	0.051207	0.582899	-0.063776
0.0007275	0.051296	0.580974	-0.063792
0.0007375	0.051386	0.578972	-0.063808
0.0007475	0.051475	0.576871	-0.063823
0.0007575	0.051565	0.574669	-0.063838
0.0007675	0.051657	0.572363	-0.063854
0.0007775	0.051748	0.569971	-0.063869
0.0007875	0.051839	0.567469	-0.063884
0.0007975	0.051931	0.564854	-0.063899
0.0008075	0.052023	0.562122	-0.063914
0.0008175	0.052115	0.559288	-0.063929
0.0008275	0.052208	0.556326	-0.063944
0.0008375	0.052301	0.55323	-0.063959
0.0008475	0.052395	0.54999	-0.063974
0.0008575	0.052489	0.546617	-0.063989
0.0008675	0.052583	0.543077	-0.064004
0.0008875	0.052772	0.535418	-0.064033
0.0008975	0.052867	0.531263	-0.064048
0.0009075	0.052962	0.526822	-0.064062
0.0009175	0.053056	0.522026	-0.064076
0.0009275	0.053152	0.516771	-0.064091
0.0009375	0.053247	0.510907	-0.064105
0.0009575	0.053439	0.495883	-0.064134
0.0009675	0.053534	0.482541	-0.064148
0.0009775	0.053629	0.469211	-0.064162
0.0009825	0.053676	0.457581	-0.064169
0.0009875	0.053723	0.441441	-0.064176
0.0009925	0.053769	0.417722	-0.064183
0.000995	0.053791	0.401464	-0.064186
0.0009975	0.053814	0.381097	-0.06419
0.001	0.053836	0.355587	-0.064194
0.0010025	0.053857	0.324052	-0.064197
0.001005	0.053877	0.286292	-0.0642
0.0010075	0.053897	0.24352	-0.064204
0.00100875	0.053907	0.221133	-0.064206
0.00101	0.053915	0.198736	-0.064207
0.00101125	0.053924	0.176858	-0.064209
0.0010125	0.053933	0.155994	-0.064211
0.00101375	0.053942	0.136539	-0.064213
0.00101625	0.053958	0.102814	-0.064216
0.00101875	0.053972	0.0763614	-0.064219
0.00102125	0.053987	0.0564458	-0.064223
0.00102375	0.054001	0.0417667	-0.064226
0.00102625	0.054015	0.0310257	-0.06423
0.00102875	0.054028	0.0231574	-0.064233
0.00103125	0.054042	0.0173595	-0.064237
0.00103625	0.054068	0.00982848	-0.064244
0.00104125	0.054092	0.00554476	-0.06425
0.00104625	0.054117	0.00305004	-0.064257
0.0010475	0.054124	0.00268452	-0.064259
0.00105125	0.054142	0.00158556	-0.064264
0.00106125	0.054192	0.000274829	-0.064278
0.00108125	0.054291	0.000178928	-0.064305
0.0010875	0.054321	0.000507424	-0.064313
0.00112125	0.054488	0.00223703	-0.064358
0.0011275	0.054518	0.00263278	-0.064366
0.00114125	0.054586	0.0034971	-0.064384
0.00116125	0.054685	0.00482107	-0.06441
0.0011675	0.054716	0.00525585	-0.064418
0.00118125	0.054785	0.00620743	-0.064436
0.00120125	0.054884	0.00766589	-0.064461
0.0012075	0.054915	0.00814906	-0.064469
0.00122125	0.054984	0.00920775	-0.064486
0.00124125	0.055084	0.0108464	-0.064511
0.0012475	0.055116	0.0113936	-0.064519
0.00126125	0.055185	0.0125935	-0.064536
0.00128125	0.055287	0.0144625	-0.064561
0.0012875	0.055319	0.0150892	-0.064569
0.00130125	0.055389	0.0164647	-0.064586
0.00132125	0.055491	0.0186135	-0.06461
0.0013275	0.055523	0.0193353	-0.064617
0.00134125	0.055593	0.0209204	-0.064633
0.00136125	0.055696	0.023399	-0.064657
0.0013675	0.055729	0.0242316	-0.064665
0.00138125	0.0558	0.026061	-0.064681
0.00140125	0.055905	0.0289205	-0.064705
0.0014075	0.055937	0.0298799	-0.064712
0.00142125	0.056008	0.0319892	-0.064727
0.00144125	0.056114	0.0352818	-0.06475
0.0014475	0.056147	0.0363846	-0.064757
0.00146125	0.056218	0.0388102	-0.064772
0.00148125	0.056325	0.042589	-0.064795
0.0014875	0.056358	0.0438514	-0.064802
0.00150125	0.056431	0.0466297	-0.064817
0.00152125	0.056539	0.0509466	-0.064839
0.0015275	0.056573	0.0523844	-0.064846
0.00154125	0.056647	0.0555502	-0.064861
0.00156125	0.056755	0.0604536	-0.064882
0.0015675	0.056789	0.0620809	-0.064889
0.00158125	0.056863	0.0656656	-0.064903
0.00160125	0.056973	0.0711971	-0.064924
0.0016075	0.057008	0.0730253	-0.064931
0.00162125	0.057083	0.0770542	-0.064945
0.00164125	0.057195	0.0832442	-0.064966
0.0016475	0.05723	0.0852802	-0.064973
0.00166125	0.057307	0.0897693	-0.064987
0.00168125	0.05742	0.0966322	-0.065007
0.0016875	0.057455	0.0988774	-0.065013
0.00170125	0.057533	0.10383	-0.065027
0.00171125	0.05759	0.107554	-0.065037
0.00172125	0.057647	0.111359	-0.065047
0.0017275	0.057683	0.113787	-0.065053
0.00173125	0.057705	0.115246	-0.065057
0.00174125	0.057762	0.119211	-0.065066
