#beta	transition energy [Ry]	dipole strength	initial state energy [Ry]
2e-07	0.046895	0.114787	-0.06252
0.0001075	0.046916	0.114787	-0.062709
0.0001175	0.046924	0.115116	-0.062728
0.0001275	0.046932	0.11547	-0.062746
0.0001375	0.046941	0.11581	-0.062765
0.0001475	0.046951	0.116159	-0.062783
0.0001575	0.046962	0.116529	-0.062802
0.0001675	0.046973	0.116922	-0.06282
0.0001775	0.046985	0.117323	-0.062839
0.0001875	0.046997	0.117741	-0.062856
0.0001975	0.04701	0.118195	-0.062874
0.0002075	0.047024	0.118675	-0.062892
0.00021	0.047028	0.118799	-0.062897
0.0002175	0.047038	0.119174	-0.06291
0.0002275	0.047054	0.119692	-0.062928
0.00023	0.047058	0.119827	-0.062932
0.0002375	0.047069	0.120238	-0.062945
0.0002475	0.047086	0.120804	-0.062963
0.00025	0.04709	0.12095	-0.062967
0.0002575	0.047102	0.121382	-0.06298
0.0002675	0.04712	0.121974	-0.062998
0.00027	0.047124	0.122127	-0.063002
0.0002775	0.047138	0.122585	-0.063015
0.0002875	0.047157	0.123214	-0.063032
0.00029	0.047162	0.123375	-0.063036
0.0002975	0.047176	0.123856	-0.063049
0.0003075	0.047196	0.124511	-0.063066
0.00031	0.047201	0.124679	-0.06307
0.0003175	0.047215	0.12519	-0.063082
0.0003275	0.047237	0.125886	-0.063099
0.00033	0.047242	0.126064	-0.063103
0.0003375	0.047257	0.126598	-0.063115
0.0003475	0.04728	0.127325	-0.063132
0.00035	0.047285	0.12751	-0.063136
0.0003575	0.047302	0.12807	-0.063148
0.0003675	0.047325	0.12883	-0.063165
0.00037	0.047331	0.129023	-0.063169
0.0003775	0.047349	0.129601	-0.063181
0.0003875	0.047372	0.130383	-0.063197
0.00039	0.047378	0.130582	-0.063201
0.0003975	0.047397	0.13118	-0.063213
0.0004075	0.047421	0.131989	-0.063228
0.00041	0.047427	0.132194	-0.063232
0.0004175	0.047446	0.132808	-0.063244
0.0004275	0.047472	0.13364	-0.06326
0.00043	0.047479	0.133851	-0.063264
0.0004375	0.047498	0.134485	-0.063275
0.0004475	0.047524	0.13534	-0.06329
0.00045	0.047531	0.135556	-0.063294
0.0004575	0.047552	0.136207	-0.063306
0.0004675	0.047579	0.137083	-0.063321
0.00047	0.047586	0.137305	-0.063325
0.0004775	0.047607	0.137971	-0.063336
0.0004875	0.047635	0.138869	-0.063351
0.00049	0.047642	0.139096	-0.063355
0.0004975	0.047664	0.139774	-0.063366
0.0005075	0.047692	0.140687	-0.06338
0.00051	0.047699	0.140917	-0.063384
0.0005175	0.047721	0.141608	-0.063395
0.0005275	0.047751	0.142537	-0.063409
0.00053	0.047759	0.14277	-0.063413
0.0005375	0.047781	0.143472	-0.063424
0.0005475	0.047811	0.144412	-0.063438
0.00055	0.047819	0.144649	-0.063442
0.0005575	0.047843	0.145362	-0.063453
0.0005675	0.047873	0.146316	-0.063467
0.00057	0.047882	0.146556	-0.063471
0.0005775	0.047905	0.147278	-0.063481
0.0005875	0.047936	0.148244	-0.063495
0.00059	0.047945	0.148486	-0.063499
0.0005975	0.047968	0.149215	-0.063509
0.0006075	0.048001	0.150192	-0.063523
0.00061	0.048009	0.150436	-0.063526
0.0006175	0.048033	0.15117	-0.063536
0.0006275	0.048066	0.152152	-0.06355
0.00063	0.048074	0.152398	-0.063553
0.0006375	0.048099	0.153137	-0.063563
0.0006475	0.048133	0.154123	-0.063577
0.00065	0.048141	0.15437	-0.06358
0.0006575	0.048166	0.155112	-0.06359
0.0006675	0.0482	0.156102	-0.063603
0.00067	0.048208	0.156349	-0.063606
0.0006775	0.048234	0.157093	-0.063616
0.0006875	0.048269	0.158084	-0.063629
0.00069	0.048277	0.158331	-0.063632
0.0007075	0.048338	0.160068	-0.063655
0.00071	0.048347	0.160315	-0.063658
0.0007175	0.048373	0.161059	-0.063667
0.0007275	0.048408	0.162049	-0.06368
0.00073	0.048417	0.162296	-0.063683
0.0007375	0.048444	0.163037	-0.063692
0.0007475	0.048479	0.16402	-0.063704
0.00075	0.048488	0.164265	-0.063707
0.0007575	0.048515	0.165001	-0.063716
0.00077	0.048561	0.166218	-0.063732
0.0007775	0.048588	0.166951	-0.063741
0.0007875	0.048624	0.167917	-0.063753
0.00079	0.048633	0.168157	-0.063756
0.0007975	0.048661	0.168879	-0.063765
0.0008075	0.048697	0.169833	-0.063776
0.00081	0.048706	0.17007	-0.063779
0.0008175	0.048734	0.170781	-0.063788
0.0008275	0.048771	0.171721	-0.063799
0.00083	0.04878	0.171951	-0.063802
0.0008475	0.048845	0.173573	-0.063822
0.00085	0.048855	0.173799	-0.063825
0.0008675	0.04892	0.175383	-0.063844
0.00087	0.04893	0.175602	-0.063847
0.0008875	0.048995	0.177142	-0.063866
0.00089	0.049005	0.177353	-0.063869
0.0009075	0.049071	0.178842	-0.063887
0.00091	0.049081	0.179044	-0.06389
0.0009275	0.049147	0.180473	-0.063908
0.00093	0.049157	0.180666	-0.063911
0.0009475	0.049224	0.182025	-0.063929
0.0009675	0.049301	0.183481	-0.063949
0.0009875	0.049378	0.184828	-0.063969
0.0010075	0.049456	0.186045	-0.063989
0.0010275	0.049534	0.18711	-0.064008
0.0010475	0.049612	0.187995	-0.064027
0.0010675	0.049689	0.188665	-0.064045
0.0010875	0.049767	0.189076	-0.064063
0.00111	0.049855	0.188962	-0.064083
0.0011275	0.049923	0.18889	-0.064098
0.00115	0.05001	0.187696	-0.064116
0.0011675	0.050078	0.186784	-0.064131
0.00117	0.050088	0.18646	-0.064133
0.00119	0.050163	0.183885	-0.064148
0.0012075	0.05023	0.181643	-0.064162
0.00121	0.050239	0.181109	-0.064164
0.0012275	0.050305	0.177377	-0.064177
0.00123	0.050314	0.176647	-0.064179
0.0012475	0.05038	0.171537	-0.064192
0.00125	0.050389	0.170626	-0.064194
0.0012575	0.050416	0.167893	-0.064199
0.0012675	0.050452	0.163681	-0.064206
0.00127	0.050461	0.16247	-0.064208
0.0012775	0.050488	0.158836	-0.064213
0.0012875	0.050523	0.153288	-0.06422
0.00129	0.050532	0.15171	-0.064222
0.0012975	0.050557	0.146974	-0.064227
0.0013075	0.050591	0.139844	-0.064234
0.00131	0.050599	0.13785	-0.064236
0.0013175	0.050623	0.131864	-0.064241
0.0013275	0.050654	0.123049	-0.064247
0.00133	0.050662	0.120696	-0.064249
0.0013325	0.05067	0.118343	-0.064251
0.0013375	0.050685	0.113453	-0.064254
0.0013425	0.050699	0.108397	-0.064257
0.00135	0.050721	0.100506	-0.064262
0.0013525	0.050728	0.0978738	-0.064264
0.0013575	0.050742	0.0924622	-0.064267
0.0013625	0.050754	0.0869931	-0.064269
0.0013675	0.050767	0.0815019	-0.064272
0.00137	0.050773	0.0787649	-0.064274
0.0013725	0.050779	0.0760269	-0.064275
0.0013775	0.050792	0.0706062	-0.064279
0.0013825	0.050803	0.0652767	-0.064281
