#beta	transition energy [Ry]	dipole strength	initial state energy [Ry]
2e-07	0.034723	5.28725	-0.062501
0.0001175	0.034737	5.28725	-0.062731
0.0002175	0.034773	5.28189	-0.062921
0.0002875	0.034809	5.27774	-0.063049
0.0003475	0.034849	5.27346	-0.063158
0.0003975	0.034887	5.26899	-0.063246
0.0004475	0.03493	5.26363	-0.063333
0.0004875	0.034968	5.25875	-0.063402
0.0005275	0.035009	5.25323	-0.063469
0.0005675	0.035053	5.24703	-0.063536
0.0006075	0.035099	5.24007	-0.063601
0.0006475	0.035149	5.23235	-0.063666
0.0006875	0.0352	5.22382	-0.063729
0.0007275	0.035255	5.21441	-0.063792
0.0007675	0.035312	5.2041	-0.063854
0.0007875	0.035341	5.19871	-0.063884
0.0008075	0.035371	5.19285	-0.063914
0.0008275	0.035402	5.18697	-0.063944
0.0008475	0.035433	5.18061	-0.063974
0.0008675	0.035465	5.17422	-0.064004
0.0008875	0.035497	5.16735	-0.064033
0.0009075	0.03553	5.16044	-0.064062
0.0009275	0.035563	5.15305	-0.064091
0.0009475	0.035597	5.1456	-0.064119
0.0009675	0.035632	5.13767	-0.064148
0.0009875	0.035667	5.12968	-0.064176
0.0010075	0.035702	5.12119	-0.064204
0.0010275	0.035738	5.11263	-0.064231
0.0010475	0.035775	5.10358	-0.064259
0.0010675	0.035811	5.09445	-0.064286
0.0010875	0.035849	5.08483	-0.064313
0.0011075	0.035886	5.07512	-0.064339
0.0011275	0.035924	5.06491	-0.064366
0.0011475	0.035963	5.05461	-0.064392
0.0011675	0.036002	5.04381	-0.064418
0.0011875	0.036042	5.03291	-0.064444
0.0012075	0.036081	5.02151	-0.064469
0.0012275	0.036121	5.01002	-0.064494
0.0012475	0.036161	4.99802	-0.064519
0.0012675	0.036203	4.98591	-0.064544
0.0012875	0.036244	4.9733	-0.064569
0.0013075	0.036286	4.96059	-0.064593
0.0013275	0.036327	4.94737	-0.064617
0.0013475	0.03637	4.93404	-0.064641
0.0013675	0.036413	4.92022	-0.064665
0.0013875	0.036456	4.90628	-0.064689
0.0014075	0.036499	4.89184	-0.064712
0.0014275	0.036543	4.87728	-0.064735
0.0014475	0.036586	4.86223	-0.064757
0.0014675	0.03663	4.84706	-0.064779
0.0014875	0.036675	4.83139	-0.064802
0.0015075	0.036719	4.8156	-0.064824
0.0015275	0.036765	4.79932	-0.064846
0.0015475	0.036809	4.78292	-0.064867
0.0015675	0.036855	4.76603	-0.064889
0.0015875	0.036901	4.74901	-0.06491
0.0016075	0.036947	4.73151	-0.064931
0.0016275	0.036993	4.71388	-0.064952
0.0016475	0.03704	4.69577	-0.064973
0.0016675	0.037086	4.67753	-0.064993
0.0016875	0.037133	4.65881	-0.065013
0.0017075	0.03718	4.63997	-0.065033
0.0017275	0.037227	4.62064	-0.065053
0.0017475	0.037274	4.60119	-0.065072
0.0017675	0.037321	4.58127	-0.065091
0.0017875	0.037369	4.56121	-0.06511
0.0018075	0.037417	4.54069	-0.065129
0.0018275	0.037464	4.52004	-0.065147
0.0018475	0.037513	4.49891	-0.065166
0.0018675	0.037561	4.47766	-0.065184
0.0018875	0.037609	4.45593	-0.065202
0.0019075	0.037657	4.43407	-0.065219
0.0019275	0.037706	4.41159	-0.065237
0.0019475	0.037754	4.38931	-0.065254
0.0019675	0.037804	4.3664	-0.065272
0.0019875	0.037852	4.34336	-0.065288
0.0020075	0.037901	4.31985	-0.065305
0.0020275	0.037949	4.29621	-0.065321
0.0020475	0.037999	4.27211	-0.065338
0.0020875	0.038098	4.22318	-0.06537
0.0021075	0.038146	4.19835	-0.065385
0.0021275	0.038196	4.17306	-0.065401
0.0021475	0.038245	4.14763	-0.065416
0.0021675	0.038295	4.12174	-0.065431
0.0021875	0.038344	4.09571	-0.065446
0.0022075	0.038394	4.0691	-0.065461
0.0022275	0.038443	4.04259	-0.065475
0.0022475	0.038493	4.01537	-0.065489
0.0022675	0.038542	3.98825	-0.065503
0.0022875	0.038592	3.96042	-0.065517
0.0023075	0.038642	3.93269	-0.065531
0.0023275	0.038691	3.90425	-0.065544
0.0023475	0.038741	3.87589	-0.065558
0.0023675	0.038791	3.84685	-0.065571
